 Egypt,
 Algeria,
 Sudan,
 Iraq,
 Morocco,
 Saudi Arabia,
 Yemen,
 Syria,
 Tunisia,
 Jordan,
 United Arab Emirates,
 Lebanon,
 Libya,
 Palestine,
 Oman,
 Mauritania,
 Kuwait,
 Qatar,
 Bahrain,
 Djibouti,
 Comoros,
