algorithm,total-files,data-gb-size,k,num-top,TQ:Q,querytime,ndistcalc,dataaccess
pqa,1000000,9,3000,-,TQ3Q0,0.0026,,0
pqa,1000000,9,50,-,TQ2Q0,0.0003,,0
pqa,1000000,9,50,-,TQ2Q1,32.6205,,942704045
pqa,1000000,9,3,-,TQ2Q4,22.2450,,544781674
pqa,1000000,9,300,-,TQ2Q3,22.6922,,744505789
pqa,1000000,9,30,-,TQ2Q0,0.0003,,0
pqa,1000000,9,50,-,TQ2Q4,34.4156,,768836396
pqa,1000000,9,5000,-,TQ3Q0,0.0027,,0
pqa,1000000,9,1000,-,TQ2Q3,23.0560,,777069299
pqa,1000000,9,10,-,TQ3Q0,0.0026,,0
pqa,1000000,9,1000,-,TQ2Q1,32.8601,,953627775
pqa,1000000,9,500,-,TQ3Q0,0.0026,,0
pqa,1000000,9,500,-,TQ2Q1,32.8597,,953208694
pqa,1000000,9,30,-,TQ2Q1,32.5609,,900085487
pqa,1000000,9,1,-,TQ3Q0,0.0026,,0
pqa,1000000,9,300,-,TQ3Q0,0.0026,,0
pqa,1000000,9,3000,-,TQ2Q4,36.1797,,954619774
pqa,1000000,9,5,-,TQ2Q3,17.6142,,120971842
pqa,1000000,9,10,-,TQ2Q4,33.9464,,612397338
pqa,1000000,9,1000,-,TQ2Q4,36.1796,,953044737
pqa,1000000,9,1000,-,TQ3Q0,0.0026,,0
pqa,1000000,9,100,-,TQ2Q3,22.2184,,672020310
pqa,1000000,9,50,-,TQ2Q3,21.7760,,661358405
pqa,1000000,9,10000,-,TQ2Q0,0.0005,,0
pqa,1000000,9,30,-,TQ2Q3,19.8676,,653750646
pqa,1000000,9,5,-,TQ2Q1,30.4947,,751109616
pqa,1000000,9,1000,-,TQ2Q0,0.0003,,0
pqa,1000000,9,1,-,TQ2Q3,0.0002,,0
pqa,1000000,9,5000,-,TQ2Q0,0.0004,,0
pqa,1000000,9,1,-,TQ2Q1,16.6605,,654700684
pqa,1000000,9,1,-,TQ2Q0,0.0003,,0
pqa,1000000,9,5000,-,TQ2Q3,23.3795,,814231136
pqa,1000000,9,10,-,TQ2Q0,0.0003,,0
pqa,1000000,9,3000,-,TQ2Q0,0.0004,,0
pqa,1000000,9,5,-,TQ2Q0,0.0003,,0
pqa,1000000,9,30,-,TQ3Q0,0.0026,,0
pqa,1000000,9,3,-,TQ2Q1,30.4640,,709342888
pqa,1000000,9,50,-,TQ3Q0,0.0026,,0
pqa,1000000,9,5000,-,TQ2Q4,34.6193,,955400775
pqa,1000000,9,100,-,TQ2Q1,32.7643,,950552000
pqa,1000000,9,5,-,TQ2Q4,29.7782,,558784376
