TQ:Q, TS:S, q_pos, s_pos, q, s, d
4:0, 4:5, 0, 0, [], [], 0.000
4:0, 417:2, 0, 1, [], [], 0.000
4:0, 551:1, 0, 2, [], [], 0.000
4:0, 842:6, 0, 5, [], [], 0.000
4:0, 942:6, 0, 5, [], [], 0.000
4:0, 962:2, 0, 3, [], [], 0.000
4:0, 1126:6, 0, 0, [], [], 0.000
4:0, 1210:3, 0, 0, [], [], 0.000
4:0, 1307:0, 0, 0, [], [], 0.000
4:0, 1323:1, 0, 0, [], [], 0.000
4:0, 1480:3, 0, 1, [], [], 0.000
4:0, 1572:3, 0, 0, [], [], 0.000
4:0, 1832:1, 0, 0, [], [], 0.000
4:0, 2027:3, 0, 0, [], [], 0.000
4:0, 2649:0, 0, 0, [], [], 0.000
4:0, 3077:1, 0, 0, [], [], 0.000
4:0, 3161:3, 0, 4, [], [], 0.000
4:0, 3479:3, 0, 2, [], [], 0.000
4:0, 3509:5, 0, 0, [], [], 0.000
4:0, 3607:6, 0, 5, [], [], 0.000
4:0, 3677:3, 0, 0, [], [], 0.000
4:0, 3983:0, 0, 0, [], [], 0.000
4:0, 4283:6, 0, 5, [], [], 0.000
4:0, 5067:3, 0, 0, [], [], 0.000
4:0, 5174:6, 0, 5, [], [], 0.000
4:0, 5351:3, 0, 0, [], [], 0.000
4:0, 5455:2, 0, 0, [], [], 0.000
4:0, 5455:6, 0, 0, [], [], 0.000
4:0, 5476:3, 0, 0, [], [], 0.000
4:0, 5812:0, 0, 0, [], [], 0.000
4:0, 5827:3, 0, 0, [], [], 0.000
4:0, 5873:0, 0, 0, [], [], 0.000
4:0, 5929:2, 0, 0, [], [], 0.000
4:0, 6042:0, 0, 0, [], [], 0.000
4:0, 6160:3, 0, 2, [], [], 0.000
4:0, 6175:3, 0, 0, [], [], 0.000
4:0, 6331:6, 0, 5, [], [], 0.000
4:0, 6340:3, 0, 0, [], [], 0.000
4:0, 6623:6, 0, 5, [], [], 0.000
4:0, 6749:6, 0, 5, [], [], 0.000
4:0, 7012:0, 0, 0, [], [], 0.000
4:0, 6951:6, 0, 1, [], [], 0.000
4:0, 8197:6, 0, 5, [], [], 0.000
4:0, 8365:0, 0, 0, [], [], 0.000
4:0, 8460:4, 0, 0, [], [], 0.000
4:0, 8535:0, 0, 0, [], [], 0.000
4:0, 8559:6, 0, 5, [], [], 0.000
4:0, 8596:6, 0, 5, [], [], 0.000
4:0, 8649:6, 0, 5, [], [], 0.000
4:0, 100024:4, 0, 0, [], [], 0.000
4:0, 4:5, 1, 1, [], [], 0.000
4:0, 417:2, 1, 2, [], [], 0.000
4:0, 551:1, 1, 3, [], [], 0.000
4:0, 551:2, 1, 0, [], [], 0.000
4:0, 842:6, 1, 6, [], [], 0.000
4:0, 942:6, 1, 6, [], [], 0.000
4:0, 1126:6, 1, 2, [], [], 0.000
4:0, 1307:0, 1, 1, [], [], 0.000
4:0, 1323:2, 1, 0, [], [], 0.000
4:0, 1480:3, 1, 5, [], [], 0.000
4:0, 1730:0, 1, 0, [], [], 0.000
4:0, 1816:2, 1, 0, [], [], 0.000
4:0, 1832:2, 1, 0, [], [], 0.000
4:0, 2649:0, 1, 1, [], [], 0.000
4:0, 3403:2, 1, 0, [], [], 0.000
4:0, 3607:6, 1, 6, [], [], 0.000
4:0, 3983:0, 1, 1, [], [], 0.000
4:0, 4283:6, 1, 6, [], [], 0.000
4:0, 5174:6, 1, 6, [], [], 0.000
4:0, 5455:1, 1, 0, [], [], 0.000
4:0, 5455:4, 1, 0, [], [], 0.000
4:0, 5764:1, 1, 0, [], [], 0.000
4:0, 5812:0, 1, 1, [], [], 0.000
4:0, 5873:0, 1, 1, [], [], 0.000
4:0, 6042:0, 1, 1, [], [], 0.000
4:0, 6331:6, 1, 6, [], [], 0.000
4:0, 6623:6, 1, 6, [], [], 0.000
4:0, 6749:6, 1, 6, [], [], 0.000
4:0, 7012:0, 1, 1, [], [], 0.000
4:0, 6951:9, 1, 1, [], [], 0.000
4:0, 7947:2, 1, 0, [], [], 0.000
4:0, 8197:6, 1, 6, [], [], 0.000
4:0, 8427:0, 1, 0, [], [], 0.000
4:0, 8535:0, 1, 1, [], [], 0.000
4:0, 8559:6, 1, 6, [], [], 0.000
4:0, 8596:6, 1, 6, [], [], 0.000
4:0, 8649:6, 1, 6, [], [], 0.000
4:0, 9254:6, 1, 6, [], [], 0.000
4:0, 9674:6, 1, 6, [], [], 0.000
4:0, 10030:0, 1, 10, [], [], 0.000
4:0, 11022:0, 1, 10, [], [], 0.000
4:0, 11112:0, 1, 1, [], [], 0.000
4:0, 11411:2, 1, 1, [], [], 0.000
4:0, 11411:7, 1, 1, [], [], 0.000
4:0, 11437:0, 1, 1, [], [], 0.000
4:0, 11857:6, 1, 6, [], [], 0.000
4:0, 12177:6, 1, 6, [], [], 0.000
4:0, 12434:6, 1, 6, [], [], 0.000
4:0, 13268:0, 1, 1, [], [], 0.000
4:0, 99692:0, 1, 1, [], [], 0.000
4:0, 4:5, 2, 2, [], [], 0.000
4:0, 417:2, 2, 3, [], [], 0.000
4:0, 551:1, 2, 5, [], [], 0.000
4:0, 962:2, 2, 4, [], [], 0.000
4:0, 1126:6, 2, 6, [], [], 0.000
4:0, 1221:9, 2, 0, [], [], 0.000
4:0, 1307:0, 2, 3, [], [], 0.000
4:0, 1730:0, 2, 1, [], [], 0.000
4:0, 3053:3, 2, 0, [], [], 0.000
4:0, 3161:1, 2, 4, [], [], 0.000
4:0, 3983:0, 2, 3, [], [], 0.000
4:0, 4163:1, 2, 0, [], [], 0.000
4:0, 5279:2, 2, 2, [], [], 0.000
4:0, 5455:2, 2, 2, [], [], 0.000
4:0, 5455:4, 2, 1, [], [], 0.000
4:0, 5455:6, 2, 1, [], [], 0.000
4:0, 5764:2, 2, 0, [], [], 0.000
4:0, 5812:0, 2, 3, [], [], 0.000
4:0, 5873:0, 2, 3, [], [], 0.000
4:0, 6042:0, 2, 3, [], [], 0.000
4:0, 6693:2, 2, 3, [], [], 0.000
4:0, 6989:2, 2, 0, [], [], 0.000
4:0, 7012:0, 2, 3, [], [], 0.000
4:0, 7123:1, 2, 1, [], [], 0.000
4:0, 7811:3, 2, 0, [], [], 0.000
4:0, 8427:0, 2, 2, [], [], 0.000
4:0, 8460:4, 2, 1, [], [], 0.000
4:0, 8535:0, 2, 3, [], [], 0.000
4:0, 10030:0, 2, 12, [], [], 0.000
4:0, 11022:0, 2, 12, [], [], 0.000
4:0, 10952:1, 2, 0, [], [], 0.000
4:0, 11112:0, 2, 3, [], [], 0.000
4:0, 11411:2, 2, 3, [], [], 0.000
4:0, 13033:1, 2, 2, [], [], 0.000
4:0, 13180:2, 2, 0, [], [], 0.000
4:0, 13214:1, 2, 1, [], [], 0.000
4:0, 13268:0, 2, 3, [], [], 0.000
4:0, 13342:1, 2, 2, [], [], 0.000
4:0, 13630:2, 2, 0, [], [], 0.000
4:0, 13775:0, 2, 3, [], [], 0.000
4:0, 14152:0, 2, 3, [], [], 0.000
4:0, 14205:0, 2, 3, [], [], 0.000
4:0, 14213:2, 2, 0, [], [], 0.000
4:0, 14361:0, 2, 3, [], [], 0.000
4:0, 14416:0, 2, 3, [], [], 0.000
4:0, 14757:2, 2, 0, [], [], 0.000
4:0, 14815:0, 2, 3, [], [], 0.000
4:0, 15053:0, 2, 3, [], [], 0.000
4:0, 15244:1, 2, 0, [], [], 0.000
4:0, 99421:0, 2, 3, [], [], 0.000
4:0, 4:5, 3, 3, [], [], 0.000
4:0, 417:2, 3, 4, [], [], 0.000
4:0, 962:2, 3, 5, [], [], 0.000
4:0, 1217:1, 3, 0, [], [], 0.000
4:0, 1307:0, 3, 4, [], [], 0.000
4:0, 1480:3, 3, 7, [], [], 0.000
4:0, 3403:2, 3, 1, [], [], 0.000
4:0, 3983:0, 3, 4, [], [], 0.000
4:0, 4739:2, 3, 7, [], [], 0.000
4:0, 5455:1, 3, 1, [], [], 0.000
4:0, 5455:6, 3, 2, [], [], 0.000
4:0, 5812:0, 3, 4, [], [], 0.000
4:0, 5873:0, 3, 4, [], [], 0.000
4:0, 6042:0, 3, 4, [], [], 0.000
4:0, 6560:3, 3, 5, [], [], 0.000
4:0, 7012:0, 3, 4, [], [], 0.000
4:0, 6951:5, 3, 1, [], [], 0.000
4:0, 6951:6, 3, 2, [], [], 0.000
4:0, 7811:3, 3, 1, [], [], 0.000
4:0, 8427:0, 3, 3, [], [], 0.000
4:0, 8460:1, 3, 0, [], [], 0.000
4:0, 8535:0, 3, 4, [], [], 0.000
4:0, 10030:0, 3, 13, [], [], 0.000
4:0, 11022:0, 3, 13, [], [], 0.000
4:0, 11112:0, 3, 4, [], [], 0.000
4:0, 11292:1, 3, 0, [], [], 0.000
4:0, 11411:2, 3, 4, [], [], 0.000
4:0, 12814:0, 3, 0, [], [], 0.000
4:0, 13033:1, 3, 4, [], [], 0.000
4:0, 13268:0, 3, 4, [], [], 0.000
4:0, 13342:1, 3, 4, [], [], 0.000
4:0, 13775:0, 3, 4, [], [], 0.000
4:0, 14152:0, 3, 4, [], [], 0.000
4:0, 14205:0, 3, 4, [], [], 0.000
4:0, 14361:0, 3, 4, [], [], 0.000
4:0, 14416:0, 3, 4, [], [], 0.000
4:0, 14506:1, 3, 1, [], [], 0.000
4:0, 15053:0, 3, 4, [], [], 0.000
4:0, 15851:0, 3, 4, [], [], 0.000
4:0, 16269:2, 3, 1, [], [], 0.000
4:0, 16404:0, 3, 13, [], [], 0.000
4:0, 17891:0, 3, 4, [], [], 0.000
4:0, 18488:2, 3, 4, [], [], 0.000
4:0, 18653:0, 3, 4, [], [], 0.000
4:0, 18658:2, 3, 4, [], [], 0.000
4:0, 19313:0, 3, 4, [], [], 0.000
4:0, 19526:0, 3, 1, [], [], 0.000
4:0, 19729:1, 3, 0, [], [], 0.000
4:0, 20143:1, 3, 1, [], [], 0.000
4:0, 99080:1, 3, 1, [], [], 0.000
4:0, 4:5, 4, 4, [], [], 0.000
4:0, 417:2, 4, 5, [], [], 0.000
4:0, 551:1, 4, 6, [], [], 0.000
4:0, 962:2, 4, 6, [], [], 0.000
4:0, 1307:0, 4, 5, [], [], 0.000
4:0, 1480:3, 4, 9, [], [], 0.000
4:0, 1816:1, 4, 0, [], [], 0.000
4:0, 2810:4, 4, 2, [], [], 0.000
4:0, 3053:3, 4, 1, [], [], 0.000
4:0, 3983:0, 4, 5, [], [], 0.000
4:0, 4206:3, 4, 8, [], [], 0.000
4:0, 4926:2, 4, 0, [], [], 0.000
4:0, 5812:0, 4, 5, [], [], 0.000
4:0, 5873:0, 4, 5, [], [], 0.000
4:0, 6042:0, 4, 5, [], [], 0.000
4:0, 6480:2, 4, 1, [], [], 0.000
4:0, 6650:1, 4, 0, [], [], 0.000
4:0, 7012:0, 4, 5, [], [], 0.000
4:0, 6890:2, 4, 0, [], [], 0.000
4:0, 8427:0, 4, 4, [], [], 0.000
4:0, 8535:0, 4, 5, [], [], 0.000
4:0, 8579:1, 4, 0, [], [], 0.000
4:0, 8579:2, 4, 0, [], [], 0.000
4:0, 9702:5, 4, 0, [], [], 0.000
4:0, 9871:5, 4, 1, [], [], 0.000
4:0, 9932:0, 4, 7, [], [], 0.000
4:0, 10030:0, 4, 14, [], [], 0.000
4:0, 11022:0, 4, 14, [], [], 0.000
4:0, 11112:0, 4, 5, [], [], 0.000
4:0, 11411:2, 4, 5, [], [], 0.000
4:0, 11761:1, 4, 0, [], [], 0.000
4:0, 12711:2, 4, 0, [], [], 0.000
4:0, 13033:1, 4, 5, [], [], 0.000
4:0, 13268:0, 4, 5, [], [], 0.000
4:0, 13342:1, 4, 5, [], [], 0.000
4:0, 13775:0, 4, 5, [], [], 0.000
4:0, 14152:0, 4, 5, [], [], 0.000
4:0, 14205:0, 4, 5, [], [], 0.000
4:0, 14361:0, 4, 5, [], [], 0.000
4:0, 14416:0, 4, 5, [], [], 0.000
4:0, 14515:1, 4, 0, [], [], 0.000
4:0, 15053:0, 4, 5, [], [], 0.000
4:0, 15585:3, 4, 0, [], [], 0.000
4:0, 15851:0, 4, 5, [], [], 0.000
4:0, 16269:2, 4, 2, [], [], 0.000
4:0, 16404:0, 4, 14, [], [], 0.000
4:0, 16979:3, 4, 0, [], [], 0.000
4:0, 17891:0, 4, 5, [], [], 0.000
4:0, 18179:2, 4, 3, [], [], 0.000
