TQ:Q, TS:S, q_pos, s_pos, q, s, d
77649:0, 69:1, 0, 13, [], [], 0.491
77649:0, 136:1, 0, 1, [], [], 0.519
77649:0, 31:0, 0, 731, [], [], 0.558
77649:0, 31:0, 0, 643, [], [], 0.560
77649:0, 4:3, 0, 11, [], [], 0.566
77649:0, 89:10, 0, 5, [], [], 0.576
77649:0, 82:2, 0, 0, [], [], 0.579
77649:0, 100:1, 0, 6, [], [], 0.603
77649:0, 139:1, 0, 12, [], [], 0.606
77649:0, 108:0, 0, 3, [], [], 0.611
77649:0, 194:1, 0, 19, [], [], 0.615
77649:0, 11:2, 0, 2, [], [], 0.616
77649:0, 62:5, 0, 2, [], [], 0.616
77649:0, 185:3, 0, 18, [], [], 0.616
77649:0, 100:1, 0, 9, [], [], 0.617
77649:0, 153:1, 0, 10, [], [], 0.621
77649:0, 158:0, 0, 8, [], [], 0.621
77649:0, 71:1, 0, 10, [], [], 0.624
77649:0, 124:1, 0, 3, [], [], 0.624
77649:0, 139:1, 0, 16, [], [], 0.629
77649:0, 4:3, 0, 0, [], [], 0.629
77649:0, 152:0, 0, 4, [], [], 0.634
77649:0, 4:3, 0, 153, [], [], 0.635
77649:0, 65:0, 0, 5, [], [], 0.636
77649:0, 174:5, 0, 11, [], [], 0.639
77649:0, 55:0, 0, 37, [], [], 0.640
77649:0, 4:3, 0, 23, [], [], 0.645
77649:0, 31:0, 0, 110, [], [], 0.645
77649:0, 100:1, 0, 5, [], [], 0.647
77649:0, 144:1, 0, 3, [], [], 0.648
77649:0, 4:3, 0, 105, [], [], 0.649
77649:0, 101:1, 0, 26, [], [], 0.654
77649:0, 101:2, 0, 32, [], [], 0.654
77649:0, 101:3, 0, 36, [], [], 0.654
77649:0, 101:4, 0, 32, [], [], 0.654
77649:0, 192:0, 0, 2, [], [], 0.655
77649:0, 35:2, 0, 13, [], [], 0.658
77649:0, 180:1, 0, 47, [], [], 0.660
77649:0, 64:0, 0, 5, [], [], 0.661
77649:0, 98:1, 0, 2, [], [], 0.662
77649:0, 31:0, 0, 459, [], [], 0.663
77649:0, 120:3, 0, 8, [], [], 0.665
77649:0, 194:1, 0, 38, [], [], 0.666
77649:0, 55:0, 0, 30, [], [], 0.670
77649:0, 23:0, 0, 5, [], [], 0.670
77649:0, 30:0, 0, 6, [], [], 0.670
77649:0, 4:3, 0, 157, [], [], 0.670
77649:0, 4:3, 0, 27, [], [], 0.670
77649:0, 180:4, 0, 61, [], [], 0.671
77649:0, 31:0, 0, 35, [], [], 0.672
77649:0, 57:1, 0, 11, [], [], 0.672
77649:0, 156:0, 0, 2, [], [], 0.673
77649:0, 70:0, 0, 6, [], [], 0.674
77649:0, 31:0, 0, 172, [], [], 0.674
77649:0, 70:0, 0, 7, [], [], 0.675
77649:0, 4:3, 0, 37, [], [], 0.675
77649:0, 57:1, 0, 5, [], [], 0.677
77649:0, 31:0, 0, 307, [], [], 0.677
77649:0, 125:0, 0, 1, [], [], 0.677
77649:0, 31:0, 0, 102, [], [], 0.678
77649:0, 163:4, 0, 15, [], [], 0.679
77649:0, 100:1, 0, 7, [], [], 0.679
77649:0, 185:0, 0, 18, [], [], 0.680
77649:0, 89:10, 0, 4, [], [], 0.680
77649:0, 174:5, 0, 6, [], [], 0.680
77649:0, 19:7, 0, 4, [], [], 0.682
77649:0, 192:0, 0, 7, [], [], 0.683
77649:0, 4:3, 0, 97, [], [], 0.684
77649:0, 180:0, 0, 61, [], [], 0.684
77649:0, 55:0, 0, 5, [], [], 0.685
77649:0, 77:1, 0, 20, [], [], 0.685
77649:0, 44:0, 0, 2, [], [], 0.685
77649:0, 80:0, 0, 2, [], [], 0.685
77649:0, 180:3, 0, 65, [], [], 0.686
77649:0, 31:0, 0, 436, [], [], 0.688
77649:0, 100:1, 0, 40, [], [], 0.688
77649:0, 91:1, 0, 0, [], [], 0.688
77649:0, 185:3, 0, 15, [], [], 0.688
77649:0, 4:3, 0, 100, [], [], 0.689
77649:0, 6:2, 0, 37, [], [], 0.689
77649:0, 31:0, 0, 568, [], [], 0.690
77649:0, 23:0, 0, 3, [], [], 0.690
77649:0, 4:3, 0, 5, [], [], 0.691
77649:0, 180:0, 0, 63, [], [], 0.692
77649:0, 138:5, 0, 6, [], [], 0.692
77649:0, 194:1, 0, 5, [], [], 0.692
77649:0, 3:0, 0, 1, [], [], 0.692
77649:0, 71:0, 0, 1, [], [], 0.692
77649:0, 92:0, 0, 1, [], [], 0.692
77649:0, 132:0, 0, 1, [], [], 0.692
77649:0, 143:0, 0, 1, [], [], 0.692
77649:0, 144:0, 0, 1, [], [], 0.692
77649:0, 187:0, 0, 0, [], [], 0.692
77649:0, 185:0, 0, 42, [], [], 0.692
77649:0, 174:5, 0, 16, [], [], 0.692
77649:0, 31:0, 0, 740, [], [], 0.693
77649:0, 180:4, 0, 54, [], [], 0.694
77649:0, 128:1, 0, 0, [], [], 0.695
77649:0, 100:1, 0, 30, [], [], 0.696
77649:0, 143:1, 0, 12, [], [], 0.697
77649:0, 20:1, 0, 8, [], [], 0.697
77649:0, 159:1, 0, 1, [], [], 0.699
77649:0, 59:3, 0, 1, [], [], 0.699
77649:0, 20:2, 0, 4, [], [], 0.700
77649:0, 4:3, 0, 90, [], [], 0.701
77649:0, 183:1, 0, 3, [], [], 0.701
77649:0, 150:2, 0, 2, [], [], 0.701
77649:0, 55:5, 0, 4, [], [], 0.701
77649:0, 110:0, 0, 4, [], [], 0.702
77649:0, 70:0, 0, 0, [], [], 0.702
77649:0, 89:10, 0, 6, [], [], 0.703
77649:0, 19:8, 0, 5, [], [], 0.703
77649:0, 11:0, 0, 5, [], [], 0.704
77649:0, 31:0, 0, 515, [], [], 0.704
77649:0, 120:3, 0, 7, [], [], 0.705
77649:0, 100:1, 0, 8, [], [], 0.706
77649:0, 104:0, 0, 59, [], [], 0.706
77649:0, 31:0, 0, 621, [], [], 0.707
77649:0, 6:2, 0, 47, [], [], 0.708
77649:0, 30:2, 0, 8, [], [], 0.708
77649:0, 100:1, 0, 76, [], [], 0.708
77649:0, 180:2, 0, 87, [], [], 0.708
77649:0, 4:3, 0, 108, [], [], 0.708
77649:0, 171:8, 0, 16, [], [], 0.708
77649:0, 99:12, 0, 3, [], [], 0.712
77649:0, 4:3, 0, 106, [], [], 0.713
77649:0, 192:0, 0, 9, [], [], 0.713
77649:0, 174:5, 0, 17, [], [], 0.713
77649:0, 94:4, 0, 1, [], [], 0.714
77649:0, 4:3, 0, 2, [], [], 0.714
77649:0, 62:1, 0, 4, [], [], 0.715
77649:0, 156:0, 0, 6, [], [], 0.715
77649:0, 44:1, 0, 7, [], [], 0.715
77649:0, 20:1, 0, 24, [], [], 0.715
77649:0, 89:1, 0, 6, [], [], 0.716
77649:0, 89:13, 0, 6, [], [], 0.716
77649:0, 53:0, 0, 10, [], [], 0.716
77649:0, 180:0, 0, 56, [], [], 0.716
77649:0, 87:0, 0, 2, [], [], 0.716
77649:0, 31:0, 0, 326, [], [], 0.716
77649:0, 24:0, 0, 0, [], [], 0.717
77649:0, 180:3, 0, 14, [], [], 0.717
77649:0, 31:0, 0, 636, [], [], 0.717
77649:0, 52:1, 0, 0, [], [], 0.717
77649:0, 3:1, 0, 9, [], [], 0.717
77649:0, 125:0, 0, 4, [], [], 0.717
77649:0, 68:0, 0, 1, [], [], 0.717
77649:0, 42:0, 0, 18, [], [], 0.719
77649:0, 117:0, 0, 18, [], [], 0.719
77649:0, 104:0, 0, 67, [], [], 0.719
77649:0, 153:1, 0, 1, [], [], 0.719
77649:0, 108:0, 0, 0, [], [], 0.720
77649:0, 14:7, 0, 1, [], [], 0.720
77649:0, 31:0, 0, 89, [], [], 0.720
77649:0, 3:1, 0, 4, [], [], 0.721
77649:0, 180:4, 0, 10, [], [], 0.721
77649:0, 185:3, 0, 20, [], [], 0.721
77649:0, 160:0, 0, 2, [], [], 0.721
77649:0, 31:0, 0, 343, [], [], 0.721
77649:0, 180:3, 0, 58, [], [], 0.721
77649:0, 20:2, 0, 6, [], [], 0.721
77649:0, 151:0, 0, 8, [], [], 0.721
77649:0, 99:3, 0, 3, [], [], 0.722
77649:0, 20:2, 0, 24, [], [], 0.723
77649:0, 100:1, 0, 10, [], [], 0.724
77649:0, 31:0, 0, 0, [], [], 0.724
77649:0, 162:3, 0, 2, [], [], 0.724
77649:0, 29:0, 0, 1, [], [], 0.725
77649:0, 84:1, 0, 0, [], [], 0.725
77649:0, 24:2, 0, 1, [], [], 0.725
77649:0, 104:1, 0, 40, [], [], 0.725
77649:0, 4:3, 0, 75, [], [], 0.725
77649:0, 54:1, 0, 0, [], [], 0.726
77649:0, 31:0, 0, 519, [], [], 0.726
77649:0, 31:0, 0, 467, [], [], 0.726
77649:0, 31:0, 0, 266, [], [], 0.727
77649:0, 72:0, 0, 1, [], [], 0.727
77649:0, 31:0, 0, 667, [], [], 0.727
77649:0, 123:3, 0, 4, [], [], 0.727
77649:0, 200:3, 0, 4, [], [], 0.727
77649:0, 108:3, 0, 3, [], [], 0.728
77649:0, 31:0, 0, 178, [], [], 0.729
77649:0, 180:2, 0, 55, [], [], 0.729
77649:0, 4:3, 0, 24, [], [], 0.730
77649:0, 136:1, 0, 24, [], [], 0.730
77649:0, 15:0, 0, 14, [], [], 0.731
77649:0, 158:0, 0, 6, [], [], 0.732
77649:0, 31:0, 0, 423, [], [], 0.732
77649:0, 153:1, 0, 4, [], [], 0.732
77649:0, 159:1, 0, 0, [], [], 0.733
77649:0, 4:3, 0, 181, [], [], 0.733
77649:0, 4:3, 0, 198, [], [], 0.733
77649:0, 4:3, 0, 146, [], [], 0.733
77649:0, 136:2, 0, 6, [], [], 0.733
77649:0, 105:0, 0, 0, [], [], 0.734
77649:0, 32:1, 0, 1, [], [], 0.735
77649:0, 4:3, 0, 180, [], [], 0.735
77649:0, 4:3, 0, 33, [], [], 0.735
77649:0, 101:1, 0, 3, [], [], 0.736
77649:0, 101:2, 0, 4, [], [], 0.736
77649:0, 101:3, 0, 4, [], [], 0.736
77649:0, 101:4, 0, 4, [], [], 0.736
77649:0, 180:3, 0, 62, [], [], 0.736
77649:0, 2:1, 0, 16, [], [], 0.736
77649:0, 172:2, 0, 0, [], [], 0.736
77649:0, 54:0, 0, 4, [], [], 0.736
77649:0, 114:3, 0, 0, [], [], 0.737
77649:0, 4:3, 0, 61, [], [], 0.737
77649:0, 4:3, 0, 166, [], [], 0.737
77649:0, 136:2, 0, 7, [], [], 0.737
77649:0, 63:3, 0, 2, [], [], 0.738
77649:0, 31:0, 0, 562, [], [], 0.739
77649:0, 6:3, 0, 23, [], [], 0.739
77649:0, 4:3, 0, 156, [], [], 0.739
77649:0, 180:0, 0, 45, [], [], 0.739
77649:0, 180:3, 0, 35, [], [], 0.739
77649:0, 196:0, 0, 6, [], [], 0.739
77649:0, 89:14, 0, 1, [], [], 0.739
77649:0, 100:1, 0, 26, [], [], 0.740
77649:0, 31:0, 0, 220, [], [], 0.741
77649:0, 100:1, 0, 32, [], [], 0.741
77649:0, 194:1, 0, 7, [], [], 0.741
77649:0, 99:4, 0, 3, [], [], 0.742
77649:0, 4:3, 0, 155, [], [], 0.742
77649:0, 106:2, 0, 2, [], [], 0.742
77649:0, 100:1, 0, 41, [], [], 0.742
77649:0, 42:4, 0, 3, [], [], 0.742
77649:0, 31:0, 0, 666, [], [], 0.743
77649:0, 110:1, 0, 21, [], [], 0.743
77649:0, 57:1, 0, 8, [], [], 0.743
77649:0, 25:2, 0, 0, [], [], 0.744
77649:0, 134:0, 0, 1, [], [], 0.745
77649:0, 11:2, 0, 1, [], [], 0.745
77649:0, 4:3, 0, 1, [], [], 0.745
77649:0, 31:0, 0, 243, [], [], 0.745
77649:0, 148:1, 0, 15, [], [], 0.746
77649:0, 91:1, 0, 1, [], [], 0.746
77649:0, 2:2, 0, 1, [], [], 0.747
77649:0, 100:1, 0, 42, [], [], 0.748
77649:0, 55:5, 0, 1, [], [], 0.749
77649:0, 88:0, 0, 2, [], [], 0.749
77649:0, 180:1, 0, 37, [], [], 0.749
77649:0, 176:1, 0, 9, [], [], 0.750
77649:0, 171:1, 0, 4, [], [], 0.750
77649:0, 88:0, 0, 3, [], [], 0.750
77649:0, 101:0, 0, 31, [], [], 0.751
77649:0, 152:0, 0, 5, [], [], 0.751
77649:0, 42:0, 0, 14, [], [], 0.751
77649:0, 117:0, 0, 14, [], [], 0.751
77649:0, 31:0, 0, 405, [], [], 0.752
77649:0, 180:1, 0, 38, [], [], 0.752
77649:0, 31:0, 0, 200, [], [], 0.752
77649:0, 31:0, 0, 642, [], [], 0.753
77649:0, 54:1, 0, 19, [], [], 0.753
77649:0, 104:1, 0, 6, [], [], 0.753
77649:0, 3:1, 0, 0, [], [], 0.753
