k,time
1,1.286144
3,13.366906
5,15.291636
10,15.291639
30,15.291649
50,15.291662
100,15.291696
300,15.291815
500,15.291938
1000,15.292207
1,8.658931
3,8.729673
5,8.729674
10,8.729679
30,8.729709
50,8.729721
100,8.729757
300,8.729894
500,8.730050
1000,8.730430
1,6.824508
3,8.654799
5,9.112810
10,9.372878
30,10.288287
50,10.316518
100,10.400674
300,10.400794
500,10.400908
1000,10.401220
1,8.450521
3,8.450523
5,8.450523
10,8.450524
30,8.450535
50,8.450543
100,8.450573
300,8.450679
500,8.450799
1000,9.006620
1,6.137594
3,6.148987
5,6.720446
10,7.236507
30,7.261993
50,8.565213
100,10.802988
300,11.800597
500,11.800746
1000,11.801072
1,2.447101
3,2.447103
5,2.447103
10,2.447107
30,2.741198
50,2.741217
100,4.323580
300,9.067498
500,9.423018
1000,13.491988
1,9.435582
3,10.338441
5,11.107503
10,11.107505
30,11.107523
50,11.107541
100,11.466253
300,11.466410
500,11.466573
1000,11.467017
1,9.028588
3,9.028589
5,9.028589
10,9.028590
30,9.028599
50,9.028610
100,9.028630
300,9.100705
500,9.100843
1000,9.101143
1,7.377289
3,7.963749
5,8.109790
10,8.109792
30,8.191776
50,8.191788
100,8.191827
300,8.296491
500,8.426632
1000,8.440913
1,7.982316
3,7.982324
5,8.020613
10,8.020616
30,8.020647
50,8.020663
100,8.020704
300,8.020887
500,8.021060
1000,8.021563
