k,time
1,1.682041
3,5.466846
5,10.134140
10,10.134141
30,10.134145
50,10.134156
100,10.134168
300,10.134200
500,10.134232
1000,10.134278
1,3.725905
3,3.725906
5,3.725907
10,3.725908
30,3.725915
50,3.725917
100,3.725929
300,3.725977
500,3.726026
1000,3.726210
1,3.212399
3,3.480662
5,3.532299
10,3.535763
30,3.535766
50,3.535769
100,3.535771
300,3.535781
500,3.535804
1000,3.535935
1,3.578758
3,3.578758
5,3.578759
10,3.578760
30,3.578762
50,3.578762
100,3.578765
300,3.578778
500,3.578801
1000,3.579564
1,2.603476
3,2.603477
5,2.616218
10,3.129706
30,3.129709
50,3.426240
100,3.852740
300,3.866976
500,3.866994
1000,3.867056
1,1.624137
3,1.624137
5,1.624137
10,1.624137
30,1.624140
50,1.624143
100,1.967606
300,3.964557
500,6.207061
1000,6.436137
1,3.463748
3,3.653878
5,3.653878
10,3.653879
30,3.821747
50,3.821750
100,3.821755
300,3.821778
500,3.821814
1000,3.821899
1,3.229204
3,3.293846
5,3.293847
10,3.293847
30,3.293851
50,3.293853
100,3.293859
300,3.293884
500,3.293910
1000,3.293992
1,2.880418
3,2.920653
5,3.276278
10,3.276281
30,3.276290
50,3.276300
100,3.276331
300,3.276452
500,3.469113
1000,3.469174
1,2.915702
3,2.988753
5,2.988753
10,2.988753
30,2.988757
50,2.988759
100,2.988768
300,2.988792
500,2.988821
1000,2.988878
