k,time
1,1.075010
3,11.315178
5,12.126997
10,12.189742
30,12.189747
50,12.189754
100,12.189770
300,12.189833
500,12.189879
1000,12.190005
1,6.328331
3,6.328332
5,6.328333
10,6.328333
30,6.328335
50,6.328341
100,6.328363
300,6.328427
500,6.328491
1000,6.328687
1,4.260454
3,5.098924
5,5.471176
10,5.677102
30,5.776149
50,5.776157
100,5.776177
300,5.776254
500,5.776344
1000,5.776531
1,4.950902
3,4.950904
5,4.950904
10,4.950904
30,4.976483
50,4.976484
100,4.976497
300,4.976536
500,4.976578
1000,5.189408
1,4.077597
3,4.114167
5,4.148540
10,5.146406
30,5.205574
50,5.542141
100,7.434145
300,8.489142
500,8.489219
1000,8.489384
1,2.578171
3,2.578174
5,2.578176
10,2.578179
30,2.578187
50,2.578200
100,3.844541
300,8.565568
500,9.926035
1000,13.770385
1,5.842683
3,6.005699
5,6.579321
10,6.579324
30,6.579330
50,6.579336
100,6.579347
300,6.579407
500,6.579496
1000,6.579646
1,5.084901
3,5.084902
5,5.084903
10,5.084905
30,5.084907
50,5.084914
100,5.084929
300,5.084986
500,5.085048
1000,5.085211
1,4.378126
3,4.430871
5,4.579048
10,4.579050
30,4.588008
50,4.588013
100,4.588027
300,4.588086
500,4.801268
1000,4.900170
1,4.570914
3,4.570916
5,4.570916
10,4.570919
30,4.570921
50,4.570922
100,4.570933
300,4.570960
500,4.571000
1000,4.571089
