k,time
1,2.140204
3,4.640354
5,5.187572
10,5.187572
30,5.187573
50,5.187573
100,5.187575
300,5.187581
500,5.187587
1000,5.187606
1,3.632704
3,3.632704
5,3.632705
10,3.632706
30,3.632713
50,3.632734
100,3.632758
300,3.632854
500,3.632943
1000,3.633009
1,2.852773
3,2.974865
5,2.974865
10,3.099751
30,3.099754
50,3.099756
100,3.099763
300,3.099789
500,3.099813
1000,3.099856
1,2.893667
3,2.893667
5,2.893667
10,2.893667
30,2.893670
50,2.893674
100,2.893690
300,2.893774
500,2.893839
1000,2.893979
1,2.094749
3,2.094749
5,2.348745
10,2.648269
30,2.648271
50,2.649102
100,2.770623
300,2.770657
500,2.770692
1000,2.770782
1,1.720271
3,1.720271
5,1.720272
10,1.720273
30,1.720280
50,1.720290
100,2.195443
300,3.590140
500,3.911806
1000,4.162452
1,2.817970
3,3.141610
5,3.141611
10,3.141611
30,3.141613
50,3.141613
100,3.141616
300,3.141632
500,3.141651
1000,3.141676
1,2.936113
3,2.936114
5,2.936115
10,2.936115
30,2.936116
50,2.936117
100,2.936128
300,2.936156
500,2.936187
1000,2.936300
1,2.488296
3,2.696422
5,2.730643
10,2.730644
30,2.730652
50,2.730657
100,2.730673
300,2.870654
500,2.911160
1000,2.911182
1,2.760210
3,2.760211
5,2.760211
10,2.760212
30,2.760214
50,2.760215
100,2.760219
300,2.760268
500,2.760299
1000,2.760390
