TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:3, 99848:3, 0, 2, [], [], 0.000
69:3, 99848:8, 1, 1, [], [], 0.000
69:3, 99848:8, 2, 1, [], [], 0.000
69:3, 99848:6, 3, 1, [], [], 0.000
69:3, 99848:3, 4, 2, [], [], 0.000
69:3, 99848:4, 5, 0, [], [], 0.000
69:3, 99848:8, 6, 2, [], [], 0.000
69:3, 99848:3, 7, 2, [], [], 0.000
69:3, 99848:3, 8, 2, [], [], 0.000
69:3, 99848:5, 9, 2, [], [], 0.000
69:3, 99848:5, 10, 2, [], [], 0.000
69:3, 99848:4, 11, 0, [], [], 0.000
69:3, 99848:4, 12, 0, [], [], 0.000
69:3, 99847:1, 13, 2, [], [], 0.000
69:3, 99848:3, 14, 2, [], [], 0.000
69:3, 99848:4, 15, 0, [], [], 0.000
69:3, 99848:8, 16, 1, [], [], 0.000
69:3, 99846:2, 17, 4, [], [], 0.000
69:3, 99848:8, 18, 2, [], [], 0.000
69:3, 99848:4, 19, 0, [], [], 0.000
69:3, 99848:3, 20, 2, [], [], 0.000
69:3, 99848:5, 21, 2, [], [], 0.000
69:3, 99848:4, 22, 0, [], [], 0.000
69:3, 99847:1, 23, 2, [], [], 0.000
69:3, 99847:1, 24, 2, [], [], 0.000
69:3, 99848:8, 25, 0, [], [], 0.000
69:3, 99848:3, 26, 2, [], [], 0.000
69:3, 99847:1, 27, 2, [], [], 0.000
69:3, 99848:4, 28, 0, [], [], 0.000
69:3, 99848:3, 29, 2, [], [], 0.000
69:3, 99846:2, 30, 4, [], [], 0.000
69:3, 99848:4, 31, 0, [], [], 0.000
69:3, 99848:3, 32, 2, [], [], 0.000
69:3, 99848:4, 33, 0, [], [], 0.000
69:3, 99848:8, 34, 1, [], [], 0.000
69:3, 99848:8, 35, 1, [], [], 0.000
69:3, 99848:3, 36, 2, [], [], 0.000
69:3, 99847:1, 37, 2, [], [], 0.000
69:3, 99848:6, 38, 1, [], [], 0.000
69:3, 99848:1, 39, 2, [], [], 0.000
69:3, 99848:8, 40, 1, [], [], 0.000
69:3, 99848:5, 41, 2, [], [], 0.000
69:3, 99848:3, 42, 2, [], [], 0.000
69:3, 99847:1, 43, 2, [], [], 0.000
69:3, 99848:5, 44, 2, [], [], 0.000
69:3, 99848:5, 45, 2, [], [], 0.000
69:3, 99848:8, 46, 2, [], [], 0.000
69:3, 99848:4, 47, 0, [], [], 0.000
69:3, 99848:4, 48, 0, [], [], 0.000
69:3, 99848:3, 49, 2, [], [], 0.000
69:3, 99848:3, 50, 2, [], [], 0.000
69:3, 99848:5, 51, 2, [], [], 0.000
69:3, 99848:6, 52, 1, [], [], 0.000
69:3, 99848:3, 53, 2, [], [], 0.000
69:3, 99848:3, 54, 2, [], [], 0.000
69:3, 99848:8, 55, 1, [], [], 0.000
69:3, 99848:5, 56, 2, [], [], 0.000
69:3, 99848:8, 57, 0, [], [], 0.000
69:3, 99847:1, 58, 2, [], [], 0.000
69:3, 99848:8, 59, 1, [], [], 0.000
