TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:2, 99848:5, 0, 2, [], [], 0.000
69:2, 99848:5, 1, 2, [], [], 0.000
69:2, 99848:4, 2, 0, [], [], 0.000
69:2, 99848:5, 3, 2, [], [], 0.000
69:2, 99846:2, 4, 4, [], [], 0.000
69:2, 99848:4, 5, 0, [], [], 0.000
69:2, 99848:3, 6, 2, [], [], 0.000
69:2, 99848:5, 7, 2, [], [], 0.000
69:2, 99848:5, 8, 2, [], [], 0.000
69:2, 99847:1, 9, 2, [], [], 0.000
69:2, 99848:5, 10, 2, [], [], 0.000
69:2, 99848:5, 11, 2, [], [], 0.000
69:2, 99848:3, 12, 2, [], [], 0.000
69:2, 99848:5, 13, 2, [], [], 0.000
69:2, 99848:4, 14, 0, [], [], 0.000
69:2, 99848:4, 15, 0, [], [], 0.000
69:2, 99848:3, 16, 2, [], [], 0.000
69:2, 99847:1, 17, 2, [], [], 0.000
69:2, 99848:5, 18, 2, [], [], 0.000
69:2, 99848:6, 19, 1, [], [], 0.000
69:2, 99848:3, 20, 2, [], [], 0.000
69:2, 99848:3, 21, 2, [], [], 0.000
69:2, 99848:5, 22, 2, [], [], 0.000
69:2, 99848:3, 23, 2, [], [], 0.000
69:2, 99848:3, 24, 2, [], [], 0.000
69:2, 99848:4, 25, 0, [], [], 0.000
69:2, 99848:3, 26, 2, [], [], 0.000
69:2, 99848:3, 27, 2, [], [], 0.000
69:2, 99848:5, 28, 2, [], [], 0.000
69:2, 99848:4, 29, 0, [], [], 0.000
69:2, 99848:4, 30, 0, [], [], 0.000
69:2, 99848:5, 31, 2, [], [], 0.000
69:2, 99847:1, 32, 2, [], [], 0.000
69:2, 99848:4, 33, 0, [], [], 0.000
69:2, 99848:8, 34, 1, [], [], 0.000
69:2, 99848:5, 35, 2, [], [], 0.000
69:2, 99848:3, 36, 2, [], [], 0.000
69:2, 99848:3, 37, 2, [], [], 0.000
69:2, 99848:3, 38, 2, [], [], 0.000
69:2, 99848:3, 39, 2, [], [], 0.000
69:2, 99848:3, 40, 2, [], [], 0.000
69:2, 99848:5, 41, 2, [], [], 0.000
69:2, 99848:3, 42, 2, [], [], 0.000
69:2, 99846:2, 43, 4, [], [], 0.000
69:2, 99848:3, 44, 2, [], [], 0.000
69:2, 99848:8, 45, 1, [], [], 0.000
69:2, 99848:4, 46, 0, [], [], 0.000
69:2, 99848:8, 47, 1, [], [], 0.000
69:2, 99848:5, 48, 2, [], [], 0.000
69:2, 99848:3, 49, 2, [], [], 0.000
69:2, 99848:3, 50, 2, [], [], 0.000
69:2, 99847:1, 51, 2, [], [], 0.000
69:2, 99848:4, 52, 0, [], [], 0.000
69:2, 99848:8, 53, 0, [], [], 0.000
69:2, 99848:3, 54, 2, [], [], 0.000
69:2, 99848:3, 55, 2, [], [], 0.000
69:2, 99848:4, 56, 0, [], [], 0.000
69:2, 99848:3, 57, 2, [], [], 0.000
69:2, 99848:5, 58, 2, [], [], 0.000
69:2, 99848:4, 59, 0, [], [], 0.000
