k,time
1,0.001776
3,0.001778
5,0.001778
10,0.001782
30,0.001796
50,0.001814
100,20.474560
300,23.127707
500,23.127824
1000,23.128069
1,6.646773
3,6.646773
5,6.646773
10,6.646775
30,6.646777
50,6.646784
100,6.646794
300,6.646839
500,6.646945
1000,6.647365
1,0.002478
3,0.002479
5,0.002480
10,0.002482
30,0.002490
50,0.002497
100,0.002509
300,0.002551
500,5.272762
1000,5.272842
1,0.001449
3,0.001449
5,0.001451
10,0.001454
30,0.001461
50,0.001466
100,0.001470
300,0.001484
500,4.317102
1000,4.406548
1,2.649980
3,2.691959
5,2.691961
10,2.691962
30,2.691965
50,2.691966
100,2.691976
300,2.781978
500,2.781999
1000,2.782051
1,2.953434
3,3.197070
5,3.346342
10,3.346342
30,3.346346
50,3.346346
100,3.346348
300,3.346360
500,3.346376
1000,3.346433
1,3.430377
3,3.516420
5,3.547060
10,3.547062
30,3.547070
50,3.547079
100,3.547109
300,3.547205
500,3.547260
1000,3.608393
1,2.900287
3,3.071121
5,3.071121
10,3.071122
30,3.071130
50,3.071130
100,3.071140
300,3.133228
500,3.133245
1000,3.133282
1,3.151377
3,3.396554
5,3.396554
10,3.437212
30,3.451931
50,3.571573
100,3.571582
300,3.571612
500,3.571655
1000,3.571746

