TQ:Q, TS:S, qindex, sindex, q, s, d
77637:1, 12:1, 0, 4, [], [], 0.000
77637:1, 14:0, 0, 2, [], [], 0.000
77637:1, 34:0, 0, 2, [], [], 0.000
77637:1, 37:1, 0, 4, [], [], 0.000
77637:1, 85:1, 0, 4, [], [], 0.000
77637:1, 115:1, 0, 4, [], [], 0.000
77637:1, 126:1, 0, 1, [], [], 0.000
77637:1, 149:1, 0, 4, [], [], 0.000
77637:1, 166:4, 0, 2, [], [], 0.000
77637:1, 191:0, 0, 2, [], [], 0.000
77637:1, 12:1, 1, 4, [], [], 0.000
77637:1, 14:0, 1, 2, [], [], 0.000
77637:1, 34:0, 1, 2, [], [], 0.000
77637:1, 37:1, 1, 4, [], [], 0.000
77637:1, 85:1, 1, 4, [], [], 0.000
77637:1, 115:1, 1, 4, [], [], 0.000
77637:1, 126:1, 1, 1, [], [], 0.000
77637:1, 149:1, 1, 4, [], [], 0.000
77637:1, 166:4, 1, 2, [], [], 0.000
77637:1, 191:0, 1, 2, [], [], 0.000
77637:1, 12:1, 2, 4, [], [], 0.000
77637:1, 14:0, 2, 2, [], [], 0.000
77637:1, 34:0, 2, 2, [], [], 0.000
77637:1, 37:1, 2, 4, [], [], 0.000
77637:1, 85:1, 2, 4, [], [], 0.000
77637:1, 115:1, 2, 4, [], [], 0.000
77637:1, 126:1, 2, 1, [], [], 0.000
77637:1, 149:1, 2, 4, [], [], 0.000
77637:1, 166:4, 2, 2, [], [], 0.000
77637:1, 191:0, 2, 2, [], [], 0.000
77637:1, 12:1, 3, 4, [], [], 0.000
77637:1, 14:0, 3, 2, [], [], 0.000
77637:1, 34:0, 3, 2, [], [], 0.000
77637:1, 37:1, 3, 4, [], [], 0.000
77637:1, 85:1, 3, 4, [], [], 0.000
77637:1, 115:1, 3, 4, [], [], 0.000
77637:1, 126:1, 3, 1, [], [], 0.000
77637:1, 149:1, 3, 4, [], [], 0.000
77637:1, 166:4, 3, 2, [], [], 0.000
77637:1, 191:0, 3, 2, [], [], 0.000
77637:1, 12:1, 4, 4, [], [], 0.000
77637:1, 14:0, 4, 2, [], [], 0.000
77637:1, 34:0, 4, 2, [], [], 0.000
77637:1, 37:1, 4, 4, [], [], 0.000
77637:1, 85:1, 4, 4, [], [], 0.000
77637:1, 115:1, 4, 4, [], [], 0.000
77637:1, 126:1, 4, 1, [], [], 0.000
77637:1, 149:1, 4, 4, [], [], 0.000
77637:1, 166:4, 4, 2, [], [], 0.000
77637:1, 191:0, 4, 2, [], [], 0.000
