TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:1, 163:1, 0, 3, [], [], 0.370
69:1, 1895:8, 0, 4, [], [], 0.370
69:1, 2382:17, 0, 8, [], [], 0.370
69:1, 2605:4, 0, 1, [], [], 0.370
69:1, 3459:12, 0, 8, [], [], 0.370
69:1, 3667:5, 0, 3, [], [], 0.370
69:1, 4981:3, 0, 9, [], [], 0.370
69:1, 5186:2, 0, 6, [], [], 0.370
69:1, 7059:2, 0, 0, [], [], 0.370
69:1, 7373:14, 0, 0, [], [], 0.370
69:1, 7769:1, 0, 5, [], [], 0.370
69:1, 7815:7, 0, 6, [], [], 0.370
69:1, 7830:8, 0, 2, [], [], 0.370
69:1, 9342:4, 0, 2, [], [], 0.370
69:1, 10087:2, 0, 0, [], [], 0.370
69:1, 11720:8, 0, 20, [], [], 0.370
69:1, 11732:3, 0, 3, [], [], 0.370
69:1, 12537:5, 0, 5, [], [], 0.370
69:1, 14152:2, 0, 7, [], [], 0.370
69:1, 15451:2, 0, 0, [], [], 0.370
69:1, 15529:3, 0, 7, [], [], 0.370
69:1, 16405:14, 0, 9, [], [], 0.370
69:1, 17741:9, 0, 4, [], [], 0.370
69:1, 17857:3, 0, 6, [], [], 0.370
69:1, 17857:4, 0, 6, [], [], 0.370
69:1, 17879:2, 0, 3, [], [], 0.370
69:1, 18725:6, 0, 1, [], [], 0.370
69:1, 22443:7, 0, 1, [], [], 0.370
69:1, 22443:16, 0, 3, [], [], 0.370
69:1, 98024:2, 0, 14, [], [], 0.370
69:1, 7068:1, 1, 24, [], [], 0.505
69:1, 87899:2, 1, 3, [], [], 0.535
69:1, 99223:2, 1, 79, [], [], 0.537
69:1, 42261:4, 1, 1, [], [], 0.548
69:1, 37112:1, 1, 19, [], [], 0.548
69:1, 7068:1, 1, 26, [], [], 0.550
69:1, 12619:0, 1, 1, [], [], 0.553
69:1, 57361:0, 1, 26, [], [], 0.556
69:1, 77881:5, 1, 153, [], [], 0.557
69:1, 28250:1, 1, 6, [], [], 0.559
69:1, 7068:1, 1, 21, [], [], 0.561
69:1, 7068:1, 1, 25, [], [], 0.562
69:1, 1394:2, 1, 2, [], [], 0.562
69:1, 7612:0, 1, 24, [], [], 0.562
69:1, 17491:4, 1, 9, [], [], 0.562
69:1, 37215:0, 1, 24, [], [], 0.562
69:1, 44943:1, 1, 26, [], [], 0.562
69:1, 51895:2, 1, 4, [], [], 0.562
69:1, 64995:4, 1, 1, [], [], 0.562
69:1, 67506:1, 1, 0, [], [], 0.562
69:1, 85069:0, 1, 17, [], [], 0.562
69:1, 87061:0, 1, 17, [], [], 0.562
69:1, 93807:4, 1, 0, [], [], 0.562
