TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:6, 608:5, 0, 2, [], [], 0.000
77637:6, 611:0, 0, 2, [], [], 0.000
77637:6, 611:1, 0, 5, [], [], 0.000
77637:6, 611:3, 0, 2, [], [], 0.000
77637:6, 614:0, 0, 1, [], [], 0.000
77637:6, 619:2, 0, 1, [], [], 0.000
77637:6, 619:3, 0, 1, [], [], 0.000
77637:6, 622:1, 0, 1, [], [], 0.000
77637:6, 625:2, 0, 2, [], [], 0.000
77637:6, 625:3, 0, 4, [], [], 0.000
77637:6, 625:4, 0, 3, [], [], 0.000
77637:6, 625:5, 0, 3, [], [], 0.000
77637:6, 625:6, 0, 3, [], [], 0.000
77637:6, 625:9, 0, 3, [], [], 0.000
77637:6, 625:10, 0, 3, [], [], 0.000
77637:6, 625:11, 0, 3, [], [], 0.000
77637:6, 625:18, 0, 3, [], [], 0.000
77637:6, 625:20, 0, 4, [], [], 0.000
77637:6, 630:6, 0, 0, [], [], 0.000
77637:6, 632:0, 0, 12, [], [], 0.000
77637:6, 632:1, 0, 2, [], [], 0.000
77637:6, 632:2, 0, 3, [], [], 0.000
77637:6, 632:4, 0, 3, [], [], 0.000
77637:6, 632:8, 0, 10, [], [], 0.000
77637:6, 632:9, 0, 3, [], [], 0.000
77637:6, 639:4, 0, 0, [], [], 0.000
77637:6, 644:0, 0, 1, [], [], 0.000
77637:6, 653:4, 0, 0, [], [], 0.000
77637:6, 679:9, 0, 1, [], [], 0.000
77637:6, 684:2, 0, 1, [], [], 0.000
77637:6, 687:6, 0, 0, [], [], 0.000
77637:6, 692:0, 0, 2, [], [], 0.000
77637:6, 692:1, 0, 5, [], [], 0.000
77637:6, 692:3, 0, 2, [], [], 0.000
77637:6, 702:2, 0, 0, [], [], 0.000
77637:6, 703:0, 0, 0, [], [], 0.000
77637:6, 706:0, 0, 0, [], [], 0.000
77637:6, 709:4, 0, 1, [], [], 0.000
77637:6, 712:5, 0, 0, [], [], 0.000
77637:6, 719:2, 0, 1, [], [], 0.000
77637:6, 719:3, 0, 1, [], [], 0.000
77637:6, 726:4, 0, 1, [], [], 0.000
77637:6, 731:0, 0, 2, [], [], 0.000
77637:6, 731:3, 0, 2, [], [], 0.000
77637:6, 731:4, 0, 2, [], [], 0.000
77637:6, 731:5, 0, 2, [], [], 0.000
77637:6, 735:2, 0, 0, [], [], 0.000
77637:6, 735:4, 0, 0, [], [], 0.000
77637:6, 743:1, 0, 2, [], [], 0.000
77637:6, 750:0, 0, 2, [], [], 0.000
77637:6, 750:3, 0, 2, [], [], 0.000
77637:6, 751:6, 0, 0, [], [], 0.000
77637:6, 795:1, 0, 0, [], [], 0.000
77637:6, 795:2, 0, 1, [], [], 0.000
77637:6, 795:4, 0, 0, [], [], 0.000
77637:6, 795:5, 0, 0, [], [], 0.000
77637:6, 796:0, 0, 2, [], [], 0.000
77637:6, 796:1, 0, 5, [], [], 0.000
77637:6, 796:3, 0, 2, [], [], 0.000
77637:6, 800:1, 0, 1, [], [], 0.000
77637:6, 809:4, 0, 0, [], [], 0.000
77637:6, 810:3, 0, 0, [], [], 0.000
77637:6, 811:0, 0, 2, [], [], 0.000
77637:6, 811:3, 0, 2, [], [], 0.000
77637:6, 811:4, 0, 2, [], [], 0.000
77637:6, 833:6, 0, 0, [], [], 0.000
77637:6, 841:4, 0, 1, [], [], 0.000
77637:6, 842:0, 0, 2, [], [], 0.000
77637:6, 868:0, 0, 3, [], [], 0.000
77637:6, 868:4, 0, 0, [], [], 0.000
77637:6, 868:5, 0, 1, [], [], 0.000
77637:6, 868:9, 0, 2, [], [], 0.000
77637:6, 877:0, 0, 2, [], [], 0.000
77637:6, 877:3, 0, 2, [], [], 0.000
77637:6, 877:6, 0, 5, [], [], 0.000
77637:6, 907:2, 0, 0, [], [], 0.000
77637:6, 941:4, 0, 3, [], [], 0.000
77637:6, 942:1, 0, 2, [], [], 0.000
77637:6, 945:4, 0, 0, [], [], 0.000
77637:6, 964:6, 0, 0, [], [], 0.000
77637:6, 967:6, 0, 0, [], [], 0.000
77637:6, 968:0, 0, 0, [], [], 0.000
77637:6, 969:3, 0, 0, [], [], 0.000
77637:6, 971:1, 0, 1, [], [], 0.000
77637:6, 988:1, 0, 0, [], [], 0.000
77637:6, 991:2, 0, 0, [], [], 0.000
77637:6, 992:0, 0, 2, [], [], 0.000
77637:6, 998:5, 0, 0, [], [], 0.000
77637:6, 1000:1, 0, 1, [], [], 0.000
77637:6, 1000:3, 0, 2, [], [], 0.000
77637:6, 1000:10, 0, 3, [], [], 0.000
77637:6, 1000:12, 0, 3, [], [], 0.000
77637:6, 1000:13, 0, 4, [], [], 0.000
77637:6, 1000:17, 0, 3, [], [], 0.000
77637:6, 1002:0, 0, 2, [], [], 0.000
77637:6, 1002:3, 0, 2, [], [], 0.000
77637:6, 1002:4, 0, 2, [], [], 0.000
77637:6, 1006:2, 0, 1, [], [], 0.000
77637:6, 1006:3, 0, 1, [], [], 0.000
77637:6, 1010:0, 0, 1, [], [], 0.000
77637:6, 1012:6, 0, 0, [], [], 0.000
77637:6, 1031:1, 0, 0, [], [], 0.000
77637:6, 1042:0, 0, 2, [], [], 0.000
77637:6, 1056:0, 0, 1, [], [], 0.000
