TQ:Q, TS:S, q_pos, s_pos, q, s, d
70:0, 7369:0, 0, 15, [], [], 0.000
70:0, 9175:0, 0, 15, [], [], 0.000
70:0, 10283:0, 0, 15, [], [], 0.000
70:0, 11835:0, 0, 2, [], [], 0.000
70:0, 13459:0, 0, 15, [], [], 0.000
70:0, 19230:0, 0, 15, [], [], 0.000
70:0, 21879:0, 0, 5, [], [], 0.000
70:0, 24739:0, 0, 15, [], [], 0.000
70:0, 24806:0, 0, 13, [], [], 0.000
70:0, 24922:0, 0, 15, [], [], 0.000
70:0, 25818:0, 0, 3, [], [], 0.000
70:0, 28086:0, 0, 13, [], [], 0.000
70:0, 29659:0, 0, 0, [], [], 0.000
70:0, 30131:0, 0, 0, [], [], 0.000
70:0, 33418:0, 0, 15, [], [], 0.000
70:0, 33929:0, 0, 15, [], [], 0.000
70:0, 39552:0, 0, 8, [], [], 0.000
70:0, 39817:0, 0, 15, [], [], 0.000
70:0, 40000:0, 0, 15, [], [], 0.000
70:0, 41279:0, 0, 6, [], [], 0.000
70:0, 43003:0, 0, 15, [], [], 0.000
70:0, 44001:0, 0, 13, [], [], 0.000
70:0, 44856:0, 0, 15, [], [], 0.000
70:0, 45089:0, 0, 15, [], [], 0.000
70:0, 49783:0, 0, 15, [], [], 0.000
70:0, 51320:0, 0, 2, [], [], 0.000
70:0, 52426:0, 0, 15, [], [], 0.000
70:0, 52897:0, 0, 15, [], [], 0.000
70:0, 55222:0, 0, 2, [], [], 0.000
70:0, 98709:0, 0, 0, [], [], 0.000
70:0, 7369:0, 1, 16, [], [], 0.000
70:0, 9175:0, 1, 16, [], [], 0.000
70:0, 10283:0, 1, 16, [], [], 0.000
70:0, 11835:0, 1, 3, [], [], 0.000
70:0, 13459:0, 1, 16, [], [], 0.000
70:0, 19230:0, 1, 16, [], [], 0.000
70:0, 21879:0, 1, 6, [], [], 0.000
70:0, 24739:0, 1, 16, [], [], 0.000
70:0, 24806:0, 1, 14, [], [], 0.000
70:0, 24922:0, 1, 16, [], [], 0.000
70:0, 28086:0, 1, 14, [], [], 0.000
70:0, 29659:0, 1, 1, [], [], 0.000
70:0, 30131:0, 1, 1, [], [], 0.000
70:0, 33418:0, 1, 16, [], [], 0.000
70:0, 33929:0, 1, 16, [], [], 0.000
70:0, 39552:0, 1, 9, [], [], 0.000
70:0, 39817:0, 1, 16, [], [], 0.000
70:0, 40000:0, 1, 16, [], [], 0.000
70:0, 41279:0, 1, 7, [], [], 0.000
70:0, 43003:0, 1, 16, [], [], 0.000
70:0, 44001:0, 1, 14, [], [], 0.000
70:0, 44856:0, 1, 16, [], [], 0.000
70:0, 45089:0, 1, 16, [], [], 0.000
70:0, 49783:0, 1, 16, [], [], 0.000
70:0, 51320:0, 1, 3, [], [], 0.000
70:0, 52426:0, 1, 16, [], [], 0.000
70:0, 52897:0, 1, 16, [], [], 0.000
70:0, 55222:0, 1, 3, [], [], 0.000
70:0, 56589:0, 1, 2, [], [], 0.000
70:0, 98709:0, 1, 1, [], [], 0.000
70:0, 7369:0, 2, 17, [], [], 0.000
70:0, 9175:0, 2, 17, [], [], 0.000
70:0, 10283:0, 2, 17, [], [], 0.000
70:0, 11835:0, 2, 4, [], [], 0.000
70:0, 13459:0, 2, 17, [], [], 0.000
70:0, 19230:0, 2, 17, [], [], 0.000
70:0, 21879:0, 2, 7, [], [], 0.000
70:0, 22959:0, 2, 0, [], [], 0.000
70:0, 24739:0, 2, 17, [], [], 0.000
70:0, 24806:0, 2, 15, [], [], 0.000
70:0, 24922:0, 2, 17, [], [], 0.000
70:0, 25904:0, 2, 0, [], [], 0.000
70:0, 28086:0, 2, 15, [], [], 0.000
70:0, 29659:0, 2, 2, [], [], 0.000
70:0, 30131:0, 2, 2, [], [], 0.000
70:0, 33418:0, 2, 17, [], [], 0.000
70:0, 33929:0, 2, 17, [], [], 0.000
70:0, 39552:0, 2, 10, [], [], 0.000
70:0, 39817:0, 2, 17, [], [], 0.000
70:0, 40000:0, 2, 17, [], [], 0.000
70:0, 41279:0, 2, 8, [], [], 0.000
70:0, 43003:0, 2, 17, [], [], 0.000
70:0, 44001:0, 2, 15, [], [], 0.000
70:0, 44856:0, 2, 17, [], [], 0.000
70:0, 45089:0, 2, 17, [], [], 0.000
70:0, 49783:0, 2, 17, [], [], 0.000
70:0, 51320:0, 2, 4, [], [], 0.000
