TQ:Q, TS:S, qindex, sindex, q, s, d
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.518
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.519
77649:0, 2:0, 0, 15, [], [], 0.520
77649:0, 2:0, 0, 15, [], [], 0.520
77649:0, 2:0, 0, 15, [], [], 0.521
77649:0, 2:0, 0, 15, [], [], 0.521
77649:0, 2:0, 0, 15, [], [], 0.521
77649:0, 2:0, 0, 15, [], [], 0.522
77649:0, 2:0, 0, 15, [], [], 0.522
77649:0, 2:0, 0, 15, [], [], 0.522
77649:0, 2:0, 0, 15, [], [], 0.522
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.523
77649:0, 2:0, 0, 15, [], [], 0.524
77649:0, 2:0, 0, 15, [], [], 0.524
77649:0, 2:0, 0, 15, [], [], 0.524
77649:0, 2:0, 0, 15, [], [], 0.524
77649:0, 2:0, 0, 15, [], [], 0.525
77649:0, 2:0, 0, 15, [], [], 0.525
77649:0, 2:0, 0, 15, [], [], 0.525
77649:0, 2:0, 0, 15, [], [], 0.525
77649:0, 2:0, 0, 15, [], [], 0.525
77649:0, 2:0, 0, 15, [], [], 0.526
77649:0, 2:0, 0, 15, [], [], 0.526
77649:0, 2:0, 0, 15, [], [], 0.526
77649:0, 2:0, 0, 15, [], [], 0.526
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.527
77649:0, 2:0, 0, 15, [], [], 0.528
77649:0, 2:0, 0, 15, [], [], 0.528
77649:0, 2:0, 0, 15, [], [], 0.528
77649:0, 2:0, 0, 15, [], [], 0.528
77649:0, 2:0, 0, 15, [], [], 0.528
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
77649:0, 2:0, 0, 15, [], [], 0.529
