Fuel Cell DFC,
Haas,
Chowchilla II Peaker,
Metcalf Energy Center LLC,
Cresta,
Colusa Generating Station,
Gianera,
Haynes,
High Desert Power Project,
Friant-Kern Hydro Facility (River Outlet - Madera Canal - F-K),
Elk Hills CoGeneration,
SPVP002 Chino Rooftop Solar,
Lake Hodges Station (Olivenhain Pumped Storage),
