TQ:Q, TS:S, q_pos, s_pos, q, s, d
6:0, 6:0, 0, 0, [], [], 0.000
6:0, 486:0, 0, 0, [], [], 0.000
6:0, 99846:2, 0, 4, [], [], 0.000
6:0, 6:0, 1, 1, [], [], 0.000
6:0, 9517:0, 1, 4, [], [], 0.184
6:0, 92667:0, 1, 6, [], [], 0.186
6:0, 6:0, 2, 2, [], [], 0.000
6:0, 28332:0, 2, 15, [], [], 0.234
6:0, 38940:0, 2, 3, [], [], 0.240
6:0, 6:0, 3, 3, [], [], 0.000
6:0, 6154:0, 3, 6, [], [], 0.140
6:0, 68905:0, 3, 37, [], [], 0.142
6:0, 6:0, 4, 4, [], [], 0.000
6:0, 24341:0, 4, 32, [], [], 0.129
6:0, 68905:4, 4, 67, [], [], 0.174
6:0, 6:0, 5, 5, [], [], 0.000
6:0, 96057:0, 5, 5, [], [], 0.127
6:0, 80700:0, 5, 4, [], [], 0.144
6:0, 6:0, 6, 6, [], [], 0.000
6:0, 95605:0, 6, 8, [], [], 0.120
6:0, 50987:0, 6, 10, [], [], 0.206
6:0, 6:0, 7, 7, [], [], 0.000
6:0, 16622:0, 7, 68, [], [], 0.200
6:0, 13097:0, 7, 14, [], [], 0.219
6:0, 6:0, 8, 8, [], [], 0.000
6:0, 17478:0, 8, 4, [], [], 0.319
6:0, 93539:0, 8, 7, [], [], 0.335
6:0, 6:0, 9, 9, [], [], 0.000
6:0, 64353:0, 9, 11, [], [], 0.245
6:0, 46530:0, 9, 7, [], [], 0.245
6:0, 6:0, 10, 10, [], [], 0.000
6:0, 12619:0, 10, 33, [], [], 0.181
6:0, 4063:0, 10, 30, [], [], 0.188
6:0, 6:0, 11, 11, [], [], 0.000
6:0, 59205:0, 11, 2, [], [], 0.233
6:0, 51371:2, 11, 28, [], [], 0.258
6:0, 6:0, 12, 12, [], [], 0.000
6:0, 44346:0, 12, 21, [], [], 0.206
6:0, 63875:2, 12, 1, [], [], 0.206
6:0, 6:0, 13, 13, [], [], 0.000
6:0, 34204:3, 13, 0, [], [], 0.132
6:0, 32593:3, 13, 2, [], [], 0.143
6:0, 6:0, 14, 14, [], [], 0.000
6:0, 70083:0, 14, 2, [], [], 0.411
6:0, 8059:1, 14, 11, [], [], 0.416
6:0, 6:0, 15, 15, [], [], 0.000
6:0, 28317:0, 15, 6, [], [], 0.169
6:0, 96722:2, 15, 20, [], [], 0.183
6:0, 6:0, 16, 16, [], [], 0.000
6:0, 93457:0, 16, 6, [], [], 0.143
6:0, 47710:4, 16, 4, [], [], 0.213
6:0, 6:0, 17, 17, [], [], 0.000
