TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:1, 69:1, 0, 0, [], [], 0.000
69:1, 163:1, 0, 3, [], [], 0.370
69:1, 87035:0, 0, 14, [], [], 0.370
69:1, 69:1, 1, 1, [], [], 0.000
69:1, 69:1, 1, 18, [], [], 0.484
69:1, 7068:1, 1, 24, [], [], 0.505
69:1, 69:1, 2, 2, [], [], 0.000
69:1, 43188:3, 2, 1, [], [], 0.260
69:1, 51857:2, 2, 4, [], [], 0.287
69:1, 69:1, 3, 3, [], [], 0.000
69:1, 21489:0, 3, 2, [], [], 0.220
69:1, 57601:1, 3, 7, [], [], 0.232
69:1, 69:1, 4, 4, [], [], 0.000
69:1, 75864:1, 4, 187, [], [], 0.388
69:1, 60173:2, 4, 8, [], [], 0.388
69:1, 69:1, 5, 5, [], [], 0.000
69:1, 68001:0, 5, 12, [], [], 0.351
69:1, 16876:0, 5, 37, [], [], 0.354
69:1, 69:1, 6, 6, [], [], 0.000
69:1, 52175:0, 6, 34, [], [], 0.213
69:1, 32240:0, 6, 0, [], [], 0.235
69:1, 69:1, 7, 7, [], [], 0.000
69:1, 68170:0, 7, 4, [], [], 0.557
69:1, 18700:1, 7, 1, [], [], 0.599
69:1, 69:1, 8, 8, [], [], 0.000
69:1, 71777:0, 8, 31, [], [], 0.325
69:1, 4656:1, 8, 19, [], [], 0.331
69:1, 69:1, 9, 9, [], [], 0.000
69:1, 71029:2, 9, 9, [], [], 0.111
69:1, 37635:0, 9, 302, [], [], 0.112
69:1, 69:1, 10, 10, [], [], 0.000
69:1, 43363:0, 10, 1340, [], [], 0.151
69:1, 61657:6, 10, 11, [], [], 0.153
69:1, 69:1, 11, 11, [], [], 0.000
69:1, 2698:1, 11, 8, [], [], 0.286
69:1, 4363:0, 11, 272, [], [], 0.307
69:1, 69:1, 12, 12, [], [], 0.000
69:1, 55402:0, 12, 117, [], [], 0.405
69:1, 71222:0, 12, 117, [], [], 0.405
69:1, 69:1, 13, 13, [], [], 0.000
69:1, 3108:0, 13, 11, [], [], 0.212
69:1, 55259:1, 13, 30, [], [], 0.215
69:1, 69:1, 14, 14, [], [], 0.000
69:1, 25708:2, 14, 211, [], [], 0.347
