TQ:Q, TS:S, qindex, sindex, q, s, d
77637:0, 2:0, 0, 0, [], [], 0.000
77637:0, 2:0, 0, 0, [], [], 0.021
77637:0, 2:0, 0, 0, [], [], 0.022
77637:0, 2:0, 0, 0, [], [], 0.024
77637:0, 2:0, 0, 0, [], [], 0.026
77637:0, 2:0, 0, 0, [], [], 0.030
77637:0, 2:0, 0, 0, [], [], 0.030
77637:0, 2:0, 0, 0, [], [], 0.033
77637:0, 2:0, 0, 0, [], [], 0.033
77637:0, 2:0, 0, 0, [], [], 0.038
77637:0, 2:0, 1, 0, [], [], 0.000
77637:0, 2:0, 1, 0, [], [], 0.004
77637:0, 2:0, 1, 0, [], [], 0.004
77637:0, 2:0, 1, 0, [], [], 0.005
77637:0, 2:0, 1, 0, [], [], 0.007
77637:0, 2:0, 1, 0, [], [], 0.008
77637:0, 2:0, 1, 0, [], [], 0.008
77637:0, 2:0, 1, 0, [], [], 0.010
77637:0, 2:0, 1, 0, [], [], 0.010
77637:0, 2:0, 1, 0, [], [], 0.013
77637:0, 2:0, 2, 0, [], [], 0.000
77637:0, 2:0, 2, 0, [], [], 0.004
77637:0, 2:0, 2, 0, [], [], 0.004
77637:0, 2:0, 2, 0, [], [], 0.007
77637:0, 2:0, 2, 0, [], [], 0.008
77637:0, 2:0, 2, 0, [], [], 0.008
77637:0, 2:0, 2, 0, [], [], 0.008
77637:0, 2:0, 2, 0, [], [], 0.009
77637:0, 2:0, 2, 0, [], [], 0.010
77637:0, 2:0, 2, 0, [], [], 0.019
77637:0, 2:0, 3, 15, [], [], 0.000
77637:0, 2:0, 3, 18, [], [], 0.025
77637:0, 2:0, 3, 18, [], [], 0.027
77637:0, 2:0, 3, 18, [], [], 0.028
77637:0, 2:0, 3, 18, [], [], 0.029
77637:0, 2:0, 3, 18, [], [], 0.039
77637:0, 2:0, 3, 18, [], [], 0.044
77637:0, 2:0, 3, 18, [], [], 0.045
77637:0, 4:0, 3, 10, [], [], 0.066
77637:0, 4:0, 3, 10, [], [], 0.068
77637:0, 2:1, 4, 0, [], [], 0.000
77637:0, 2:1, 4, 0, [], [], 0.512
77637:0, 2:1, 4, 0, [], [], 0.650
77637:0, 2:1, 4, 0, [], [], 0.661
77637:0, 2:1, 4, 0, [], [], 0.674
77637:0, 2:1, 4, 0, [], [], 0.706
77637:0, 2:1, 4, 0, [], [], 0.716
77637:0, 2:1, 4, 0, [], [], 0.728
77637:0, 2:1, 4, 0, [], [], 0.739
77637:0, 67043:3, 4, 15, [], [], 0.770
