k,d,recall,time
165,0.265925,1.000000,1.596082
166,0.265925,1.000000,1.596082
167,0.267751,1.000000,1.596082
168,0.267753,1.000000,1.596082
169,0.269077,0.982558,1.596082
170,0.269124,0.988372,1.596082
171,0.269198,0.994186,1.596082
172,0.269479,1.000000,1.596082
173,0.270798,1.000000,1.596082
174,0.271345,1.000000,1.596082
175,0.271903,1.000000,1.596082
176,0.272022,0.994350,1.596082
177,0.272022,1.000000,1.596082
178,0.273065,1.000000,1.596082
179,0.273752,1.000000,1.596082
180,0.275076,1.000000,1.596082
181,0.275509,1.000000,1.596082
182,0.275670,1.000000,1.596082
183,0.275670,1.000000,1.596082
184,0.276808,1.000000,1.596082
185,0.276937,1.000000,1.596082
186,0.277180,0.989362,1.596082
187,0.277314,0.994681,1.596082
188,0.277314,1.000000,1.596082
189,0.277795,1.000000,1.596082
190,0.279016,0.994764,1.596082
191,0.279319,1.000000,1.596082
192,0.279765,1.000000,1.596082
193,0.280139,0.994845,1.596082
194,0.280396,1.000000,1.596082
195,0.281030,0.955882,1.596082
196,0.281030,0.960784,1.596082
197,0.281030,0.965686,1.596082
198,0.281030,0.970588,1.596082
199,0.281030,0.975490,1.596082
200,0.281030,0.980392,1.596082
201,0.281030,0.985294,1.596082
202,0.281030,0.990196,1.596082
203,0.281030,0.995098,1.596082
204,0.281444,1.000000,1.596082
205,0.281513,1.000000,1.596082
206,0.281513,1.000000,1.596082
207,0.281755,1.000000,1.596082
208,0.281760,1.000000,1.596082
209,0.283490,0.995238,1.596082
210,0.283490,1.000000,1.596082
211,0.283650,1.000000,1.596083
212,0.283681,1.000000,1.596083
213,0.283912,1.000000,1.596083
214,0.283912,1.000000,1.596083
215,0.283975,1.000000,1.596083
216,0.284180,1.000000,1.596083
217,0.284728,1.000000,1.596083
218,0.284728,1.000000,1.596083
219,0.284728,1.000000,1.596083
220,0.284728,1.000000,1.596083
221,0.284735,1.000000,1.596083
222,0.284735,1.000000,1.596083
223,0.284735,1.000000,1.596083
224,0.284735,1.000000,1.596083
225,0.285280,0.995575,1.596083
226,0.285434,1.000000,1.596083
227,0.285678,1.000000,1.596083
228,0.285678,1.000000,1.596083
229,0.286172,1.000000,1.596083
230,0.286676,1.000000,1.596083
231,0.286797,1.000000,1.596083
232,0.286797,1.000000,1.596083
233,0.286797,1.000000,1.596083
234,0.286797,1.000000,1.596083
235,0.287269,0.991561,1.596083
236,0.287394,0.995781,1.596083
237,0.287447,1.000000,1.596083
238,0.287932,1.000000,1.596083
239,0.289123,0.912214,1.596083
240,0.289232,0.916031,1.596083
241,0.289232,0.919847,1.596083
242,0.289232,0.923664,1.596083
243,0.289232,0.927481,1.596083
244,0.289232,0.931298,1.596083
245,0.289232,0.935115,1.596083
246,0.289232,0.938931,1.596083
247,0.289232,0.942748,1.596083
248,0.289232,0.946565,1.596083
249,0.289232,0.950382,1.596083
250,0.289232,0.954198,1.596083
251,0.289232,0.958015,1.596083
252,0.289232,0.961832,1.596083
253,0.289232,0.965649,1.596083
254,0.289232,0.969466,1.596083
255,0.289232,0.973282,1.596083
256,0.289232,0.977099,1.596083
257,0.289232,0.980916,1.596083
258,0.289232,0.984733,1.596083
259,0.289232,0.988550,1.596083
260,0.289232,0.992366,1.596083
261,0.289232,0.996183,1.596083
262,0.289232,1.000000,1.596083
263,0.289558,1.000000,1.596083
264,0.290022,0.992481,1.596083
265,0.290210,0.996241,1.596083
266,0.290210,1.000000,1.596083
267,0.291066,0.992565,1.596083
268,0.291314,0.996283,1.596083
269,0.291470,1.000000,1.596083
270,0.291639,1.000000,1.596083
271,0.291639,1.000000,1.596083
272,0.291770,1.000000,1.596083
273,0.292105,1.000000,1.596083
274,0.293071,0.992754,1.596083
275,0.293341,0.996377,1.596083
276,0.293368,1.000000,1.596083
277,0.293627,1.000000,1.596083
278,0.294142,0.996416,1.596084
279,0.294232,1.000000,1.596084
280,0.294583,1.000000,1.596084
281,0.294583,1.000000,1.596084
282,0.295081,0.986014,1.596084
283,0.295081,0.989510,1.596084
284,0.295081,0.993007,1.596084
285,0.295385,0.996503,1.596084
286,0.295485,1.000000,1.596084
287,0.295652,1.000000,1.596084
288,0.295923,1.000000,1.596084
289,0.296425,1.000000,1.596084
290,0.296555,1.000000,1.596084
291,0.296598,1.000000,1.596084
292,0.296982,1.000000,1.596084
293,0.296991,1.000000,1.596084
294,0.297154,0.989899,1.596084
295,0.297182,0.993266,1.596084
296,0.297372,0.996633,1.596084
297,0.297384,1.000000,1.596084
298,0.298177,0.983498,1.596084
299,0.298214,0.986799,1.596084
300,0.298214,0.990099,1.596084
301,0.298214,0.993399,1.596084
302,0.298214,0.996700,1.596084
303,0.298214,1.000000,1.596084
304,0.298936,1.000000,1.596084
305,0.299241,0.983871,1.596084
306,0.299412,0.987097,1.596084
307,0.299412,0.990323,1.596084
308,0.299412,0.993548,1.596084
309,0.299450,0.996774,1.596084
310,0.299485,1.000000,1.596084
311,0.299567,1.000000,1.596084
312,0.299665,1.000000,1.596084
313,0.299819,1.000000,1.596084
314,0.299994,1.000000,1.596084
315,0.300352,0.981308,1.596084
316,0.300352,0.984424,1.596084
317,0.300352,0.987539,1.596084
318,0.300418,0.990654,1.596084
319,0.300418,0.993769,1.596084
320,0.300418,0.996885,1.596084
321,0.300418,1.000000,1.596084
322,0.300923,1.000000,1.596084
323,0.300923,1.000000,1.596085
324,0.300923,1.000000,1.596085
325,0.301025,0.996933,1.596085
326,0.301466,1.000000,1.596085
327,0.301684,1.000000,1.596085
328,0.301694,1.000000,1.596085
329,0.301839,1.000000,1.596085
330,0.301949,1.000000,1.596085
331,0.302011,0.993994,1.596085
332,0.302413,0.996997,1.596085
333,0.302497,1.000000,1.596085
334,0.302639,1.000000,1.596085
335,0.302716,1.000000,1.596085
336,0.302920,1.000000,1.596085
337,0.302985,1.000000,1.596085
338,0.303043,0.957507,1.596085
339,0.303086,0.960340,1.596085
340,0.303138,0.963173,1.596085
341,0.303150,0.966006,1.596085
342,0.303150,0.968839,1.596085
343,0.303150,0.971671,1.596085
344,0.303150,0.974504,1.596085
345,0.303150,0.977337,1.596085
346,0.303150,0.980170,1.596085
347,0.303150,0.983003,1.596085
348,0.303186,0.985836,1.596085
349,0.303310,0.988669,1.596085
350,0.303338,0.991501,1.596085
351,0.303496,0.994334,1.596085
352,0.303496,0.997167,1.596085
353,0.303496,1.000000,1.596085
354,0.303622,1.000000,1.596085
355,0.303645,1.000000,1.596085
356,0.303828,1.000000,1.596085
357,0.304426,1.000000,1.596085
358,0.304686,1.000000,1.596085
359,0.304711,1.000000,1.596085
360,0.304821,1.000000,1.596085
361,0.305207,0.937662,1.596085
362,0.305301,0.940260,1.596085
363,0.305402,0.942857,1.596085
364,0.305402,0.945455,1.596085
365,0.305402,0.948052,1.596085
366,0.305402,0.950649,1.596085
367,0.305402,0.953247,1.596085
368,0.305402,0.955844,1.596085
369,0.305402,0.958442,1.596085
370,0.305402,0.961039,1.596085
371,0.305402,0.963636,1.596085
372,0.305402,0.966234,1.596085
373,0.305402,0.968831,1.596085
374,0.305402,0.971429,1.596085
375,0.305402,0.974026,1.596085
376,0.305402,0.976623,1.596085
377,0.305402,0.979221,1.596085
378,0.305402,0.981818,1.596085
379,0.305402,0.984416,1.596085
380,0.305402,0.987013,1.596085
381,0.305402,0.989610,1.596085
382,0.305402,0.992208,1.596085
383,0.305402,0.994805,1.596085
384,0.305447,0.997403,1.596085
385,0.305447,1.000000,1.596085
386,0.306074,0.992288,1.596085
387,0.306074,0.994859,1.596085
388,0.306085,0.997429,1.596085
389,0.306421,1.000000,1.596085
390,0.306740,1.000000,1.596086
391,0.306864,1.000000,1.596086
392,0.306949,1.000000,1.596086
393,0.307154,0.997462,1.596086
394,0.307397,1.000000,1.596086
395,0.307604,1.000000,1.596086
396,0.307761,1.000000,1.596086
397,0.307866,1.000000,1.596086
398,0.307950,1.000000,1.596086
399,0.307966,1.000000,1.596086
400,0.308016,0.992556,1.596086
401,0.308053,0.995037,1.596086
402,0.308106,0.997519,1.596086
403,0.308249,1.000000,1.596086
404,0.308592,1.000000,1.596086
405,0.308592,1.000000,1.596086
406,0.308592,1.000000,1.596086
407,0.309264,1.000000,1.596086
408,0.309558,1.000000,1.596086
409,0.309592,1.000000,1.596086
410,0.309592,1.000000,1.596086
411,0.309735,1.000000,1.596086
412,0.309735,1.000000,1.596086
413,0.310066,0.978673,1.596086
414,0.310129,0.981043,1.596086
415,0.310129,0.983412,1.596086
416,0.310181,0.985782,1.596086
417,0.310325,0.988152,1.596086
418,0.310325,0.990521,1.596086
419,0.310343,0.992891,1.596086
420,0.310343,0.995261,1.596086
421,0.310480,0.997630,1.596086
422,0.310482,1.000000,1.596086
423,0.310773,1.000000,1.596086
424,0.310845,1.000000,1.596086
425,0.310901,1.000000,1.596086
426,0.310995,1.000000,1.596086
427,0.310995,1.000000,1.596086
428,0.311019,0.979405,1.596086
429,0.311092,0.981693,1.596086
430,0.311092,0.983982,1.596086
431,0.311092,0.986270,1.596086
432,0.311092,0.988558,1.596086
433,0.311092,0.990847,1.596086
434,0.311092,0.993135,1.596086
435,0.311092,0.995423,1.596086
436,0.311356,0.997712,1.596086
437,0.311356,1.000000,1.596086
438,0.311589,1.000000,1.596086
439,0.311668,1.000000,1.596086
440,0.311752,1.000000,1.596086
441,0.311752,1.000000,1.596086
442,0.311752,1.000000,1.596086
443,0.311814,1.000000,1.596086
444,0.311892,1.000000,1.596086
445,0.311926,1.000000,1.596086
446,0.311985,1.000000,1.596086
447,0.312067,0.973856,1.596086
448,0.312069,0.976035,1.596086
449,0.312145,0.978213,1.596086
450,0.312145,0.980392,1.596086
451,0.312145,0.982571,1.596086
452,0.312145,0.984749,1.596086
453,0.312145,0.986928,1.596086
454,0.312145,0.989107,1.596086
455,0.312145,0.991285,1.596086
456,0.312233,0.993464,1.596086
457,0.312233,0.995643,1.596087
458,0.312330,0.997821,1.596087
459,0.312331,1.000000,1.596087
460,0.312553,1.000000,1.596087
461,0.312762,1.000000,1.596087
462,0.313051,0.991416,1.596087
463,0.313273,0.993562,1.596087
464,0.313329,0.995708,1.596087
465,0.313395,0.997854,1.596087
466,0.313461,1.000000,1.596087
467,0.313537,1.000000,1.596087
468,0.313537,1.000000,1.596087
469,0.313573,1.000000,1.596087
470,0.313831,1.000000,1.596087
471,0.314022,0.991579,1.596087
472,0.314099,0.993684,1.596087
473,0.314197,0.995789,1.596087
474,0.314212,0.997895,1.596087
475,0.314363,1.000000,1.596087
476,0.314935,1.000000,1.596087
477,0.315219,0.995825,1.596087
478,0.315379,0.997912,1.596087
479,0.315385,1.000000,1.596087
480,0.315551,1.000000,1.596087
481,0.315551,1.000000,1.596087
482,0.315551,1.000000,1.596087
483,0.315581,1.000000,1.596087
484,0.315598,1.000000,1.596087
485,0.315598,1.000000,1.596087
486,0.315721,1.000000,1.596087
487,0.315792,1.000000,1.596087
488,0.315797,1.000000,1.596087
489,0.315836,1.000000,1.596087
490,0.315874,1.000000,1.596087
491,0.315901,1.000000,1.596087
492,0.316055,0.991935,1.596087
493,0.316128,0.993952,1.596087
494,0.316232,0.995968,1.596087
495,0.316301,0.997984,1.596087
496,0.316461,1.000000,1.596087
497,0.316815,1.000000,1.596087
498,0.317174,0.997996,1.596087
499,0.317429,1.000000,1.596087
500,0.317541,1.000000,1.596087
501,0.317541,1.000000,1.596087
502,0.318000,0.990138,1.596087
503,0.318000,0.992110,1.596087
504,0.318159,0.994083,1.596087
505,0.318177,0.996055,1.596087
506,0.318263,0.998028,1.596087
507,0.318313,1.000000,1.596087
508,0.318555,1.000000,1.596087
509,0.318642,1.000000,1.596087
510,0.319213,0.883882,1.596087
511,0.319213,0.885615,1.596087
512,0.319213,0.887348,1.596087
513,0.319213,0.889081,1.596087
514,0.319213,0.890815,1.596087
515,0.319213,0.892548,1.596087
516,0.319213,0.894281,1.596087
517,0.319213,0.896014,1.596087
518,0.319213,0.897747,1.596087
519,0.319213,0.899480,1.596087
520,0.319213,0.901213,1.596087
521,0.319213,0.902946,1.596087
522,0.319213,0.904679,1.596087
523,0.319213,0.906412,1.596087
524,0.319213,0.908146,1.596088
525,0.319213,0.909879,1.596088
526,0.319213,0.911612,1.596088
527,0.319213,0.913345,1.596088
528,0.319213,0.915078,1.596088
529,0.319213,0.916811,1.596088
530,0.319213,0.918544,1.596088
531,0.319213,0.920277,1.596088
532,0.319213,0.922010,1.596088
533,0.319213,0.923743,1.596088
534,0.319213,0.925477,1.596088
535,0.319213,0.927210,1.596088
536,0.319213,0.928943,1.596088
537,0.319213,0.930676,1.596088
538,0.319213,0.932409,1.596088
539,0.319213,0.934142,1.596088
540,0.319213,0.935875,1.596088
541,0.319213,0.937608,1.596088
542,0.319213,0.939341,1.596088
543,0.319213,0.941075,1.596088
544,0.319213,0.942808,1.596088
545,0.319213,0.944541,1.596088
546,0.319213,0.946274,1.596088
547,0.319213,0.948007,1.596088
548,0.319213,0.949740,1.596088
549,0.319213,0.951473,1.596088
550,0.319213,0.953206,1.596088
551,0.319213,0.954939,1.596088
552,0.319213,0.956672,1.596088
553,0.319213,0.958406,1.596088
554,0.319213,0.960139,1.596088
555,0.319213,0.961872,1.596088
556,0.319213,0.963605,1.596088
557,0.319213,0.965338,1.596088
558,0.319213,0.967071,1.596088
559,0.319213,0.968804,1.596088
560,0.319213,0.970537,1.596088
561,0.319213,0.972270,1.596088
562,0.319213,0.974003,1.596088
563,0.319213,0.975737,1.596088
564,0.319213,0.977470,1.596088
565,0.319213,0.979203,1.596088
566,0.319213,0.980936,1.596088
567,0.319213,0.982669,1.596088
568,0.319213,0.984402,1.596088
569,0.319213,0.986135,1.596088
570,0.319229,0.987868,1.596088
571,0.319282,0.989601,1.596088
572,0.319357,0.991334,1.596088
573,0.319357,0.993068,1.596088
574,0.319357,0.994801,1.596088
575,0.319357,0.996534,1.596088
576,0.319357,0.998267,1.596088
577,0.319415,1.000000,1.596088
578,0.319500,1.000000,1.596088
579,0.319529,1.000000,1.596088
580,0.319578,1.000000,1.596088
581,0.319778,1.000000,1.596088
582,0.319793,1.000000,1.596088
583,0.319953,1.000000,1.596088
584,0.320011,0.974958,1.596088
585,0.320273,0.976628,1.596088
586,0.320273,0.978297,1.596088
587,0.320273,0.979967,1.596088
588,0.320273,0.981636,1.596088
589,0.320273,0.983306,1.596088
590,0.320273,0.984975,1.596088
591,0.320273,0.986644,1.596089
592,0.320273,0.988314,1.596089
593,0.320273,0.989983,1.596089
594,0.320273,0.991653,1.596089
595,0.320273,0.993322,1.596089
596,0.320273,0.994992,1.596089
597,0.320273,0.996661,1.596089
598,0.320273,0.998331,1.596089
599,0.320375,1.000000,1.596089
600,0.320552,1.000000,1.596089
601,0.320746,1.000000,1.596089
602,0.320746,1.000000,1.596089
603,0.321419,1.000000,1.596089
604,0.321521,1.000000,1.596089
605,0.321582,1.000000,1.596089
606,0.321616,1.000000,1.596089
607,0.321616,1.000000,1.596089
608,0.321616,1.000000,1.596089
609,0.321616,1.000000,1.596089
610,0.321616,1.000000,1.596089
611,0.321630,1.000000,1.596089
612,0.321643,1.000000,1.596089
613,0.321664,1.000000,1.596089
614,0.321664,1.000000,1.596089
615,0.321664,1.000000,1.596089
616,0.321664,1.000000,1.596089
617,0.321728,1.000000,1.596089
618,0.321749,1.000000,1.596089
619,0.321978,1.000000,1.596089
620,0.322081,0.995185,1.596089
621,0.322106,0.996790,1.596089
622,0.322106,0.998395,1.596089
