algorithm,total-files,data-gb-size,k,TQ:Q,recall,precision,querytime
kashif,100000,1,1,TQ69Q1,0.008605851979345954,1.0,0.0486
kashif,100000,1,3,TQ69Q1,0.013769363166953529,1.0,0.1497
kashif,100000,1,5,TQ69Q1,0.01721170395869191,1.0,0.2586
kashif,100000,1,10,TQ69Q1,0.025817555938037865,1.0,0.5251
kashif,100000,1,30,TQ69Q1,0.060240963855421686,1.0,1.7084
kashif,100000,1,50,TQ69Q1,0.09466437177280551,1.0,2.8275
kashif,100000,1,100,TQ69Q1,0.18072289156626506,1.0,5.7954
kashif,100000,1,300,TQ69Q1,0.5249569707401033,1.0,17.7014
kashif,100000,1,500,TQ69Q1,0.8691910499139415,1.0,30.0870
kashif,100000,1,1000,TQ69Q1,1.0,1.0,60.1270
kashif,100000,1,3000,TQ69Q1,1.0,1.0,179.0151
kashif,100000,1,5000,TQ69Q1,1.0,1.0,295.7859
kashif,100000,1,10000,TQ69Q1,1.0,1.0,578.1415
kashif,100000,1,1,TQ69Q2,0.012903225806451613,1.0,0.0507
kashif,100000,1,3,TQ69Q2,0.03225806451612903,1.0,0.1461
kashif,100000,1,5,TQ69Q2,0.05161290322580645,1.0,0.2425
kashif,100000,1,10,TQ69Q2,0.1,1.0,0.4888
kashif,100000,1,30,TQ69Q2,0.24516129032258063,1.0,1.4940
kashif,100000,1,50,TQ69Q2,0.3741935483870968,1.0,2.5049
kashif,100000,1,100,TQ69Q2,0.6967741935483871,1.0,5.3033
kashif,100000,1,300,TQ69Q2,1.0,1.0,16.2139
kashif,100000,1,500,TQ69Q2,1.0,1.0,27.2328
kashif,100000,1,1000,TQ69Q2,1.0,1.0,54.6432
kashif,100000,1,3000,TQ69Q2,1.0,1.0,164.1647
kashif,100000,1,5000,TQ69Q2,1.0,1.0,270.7766
kashif,100000,1,10000,TQ69Q2,1.0,1.0,531.1748
kashif,100000,1,1,TQ69Q3,0.13725490196078433,1.0,0.0514
kashif,100000,1,3,TQ69Q3,0.27450980392156865,1.0,0.1562
kashif,100000,1,5,TQ69Q3,0.39215686274509803,1.0,0.2675
kashif,100000,1,10,TQ69Q3,0.5882352941176471,1.0,0.5373
kashif,100000,1,30,TQ69Q3,1.0,1.0,1.6647
kashif,100000,1,50,TQ69Q3,1.0,1.0,2.8295
kashif,100000,1,100,TQ69Q3,1.0,1.0,5.7844
kashif,100000,1,300,TQ69Q3,1.0,1.0,17.3434
kashif,100000,1,500,TQ69Q3,1.0,1.0,29.3157
kashif,100000,1,1000,TQ69Q3,1.0,1.0,58.7459
kashif,100000,1,3000,TQ69Q3,1.0,1.0,174.2165
kashif,100000,1,5000,TQ69Q3,1.0,1.0,291.0698
kashif,100000,1,10000,TQ69Q3,1.0,1.0,569.1764
kashif,100000,1,1,TQ4Q0,0.0032530904359141183,1.0,0.0034
kashif,100000,1,3,TQ4Q0,0.009759271307742356,1.0,0.0156
kashif,100000,1,5,TQ4Q0,0.01626545217957059,1.0,0.0351
kashif,100000,1,10,TQ4Q0,0.03253090435914118,1.0,0.1015
kashif,100000,1,30,TQ4Q0,0.09759271307742355,1.0,0.5466
kashif,100000,1,50,TQ4Q0,0.16265452179570591,1.0,1.1143
kashif,100000,1,100,TQ4Q0,0.32530904359141183,1.0,2.7556
kashif,100000,1,300,TQ4Q0,0.6900100550068019,1.0,11.0519
kashif,100000,1,500,TQ4Q0,0.875022180162063,1.0,19.5848
kashif,100000,1,1000,TQ4Q0,0.97758324954161,1.0,43.4253
kashif,100000,1,3000,TQ4Q0,1.0,1.0,142.5413
kashif,100000,1,5000,TQ4Q0,1.0,1.0,238.0376
kashif,100000,1,10000,TQ4Q0,1.0,1.0,469.0481
