TQ:Q, TS:S, qindex, sindex, q, s, d
9:0, 410974:0, 0, 5, [], [], 0.566
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 323475:4, 0, 262, [], [], 0.579
9:0, 410974:0, 1, 5, [], [], 0.566
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 323475:4, 1, 262, [], [], 0.579
9:0, 410974:0, 2, 5, [], [], 0.566
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 323475:4, 2, 262, [], [], 0.579
9:0, 410974:0, 3, 5, [], [], 0.566
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 323475:4, 3, 262, [], [], 0.579
9:0, 410974:0, 4, 5, [], [], 0.566
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 323475:4, 4, 262, [], [], 0.579
9:0, 410974:0, 5, 5, [], [], 0.566
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 323475:4, 5, 262, [], [], 0.579
9:0, 410974:0, 6, 5, [], [], 0.566
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 323475:4, 6, 262, [], [], 0.579
9:0, 410974:0, 7, 5, [], [], 0.566
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 323475:4, 7, 262, [], [], 0.579
9:0, 410974:0, 8, 5, [], [], 0.566
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
9:0, 323475:4, 8, 262, [], [], 0.579
