tq:q,ts:s,overlap
t1793:c0,t751525:c3,96
t1793:c0,t7550138:c3,84
t1793:c0,t8193114:c3,97
t1793:c0,t8477228:c3,98
t1793:c0,t8477228:c3,85
t1793:c0,t9168467:c3,93
t1793:c0,t9168467:c3,95
t1793:c0,t9168467:c3,96
t1793:c0,t9205827:c3,96
t1793:c0,t9205827:c3,93
t1793:c0,t9205827:c3,80
t1793:c0,t9205827:c3,96
t1793:c0,t9236551:c3,97
t1793:c0,t9236551:c3,99
t1793:c0,t9236551:c3,83
t1793:c0,t9297861:c3,92
t1793:c0,t976953:c3,93
t1793:c0,t976953:c3,96
t1793:c0,t976953:c3,97
t1793:c0,t6711631:c3,98
t1793:c0,t6711631:c3,70
t1793:c0,t6711631:c3,60
t1793:c0,t6711631:c3,92
t1793:c0,t6711631:c3,92
t1793:c0,t6711631:c3,98
t1793:c0,t6711631:c3,85
t1793:c0,t6711631:c3,98
t1793:c0,t115249:c3,99
t1793:c0,t115249:c3,63
t1793:c0,t115249:c3,96
t1793:c0,t1659746:c3,99
t1793:c0,t1659746:c3,76
t1793:c0,t2096776:c3,73
t1793:c0,t2096776:c3,92
t1793:c0,t2284971:c3,99
t1793:c0,t2284971:c3,99
t1793:c0,t267943:c3,98
t1793:c0,t3287297:c3,73
t1793:c0,t3287297:c3,92
t1793:c0,t3295388:c3,73
t1793:c0,t3295388:c3,92
t1793:c0,t3511945:c3,92
t1793:c0,t3650688:c3,94
t1793:c0,t3650688:c3,97
t1793:c0,t3650688:c3,97
t1793:c0,t3877552:c3,98
t1793:c0,t3952433:c3,99
t1793:c0,t3952433:c3,99
t1793:c0,t4051356:c3,95
t1793:c0,t4105424:c3,73
t1793:c0,t4105424:c3,92
t1793:c0,t4148378:c3,98
t1793:c0,t4148378:c3,86
t1793:c0,t4157550:c3,99
t1793:c0,t4180355:c3,94
t1793:c0,t4180355:c3,97
t1793:c0,t4180355:c3,99
t1793:c0,t4270238:c3,91
t1793:c0,t4270238:c3,92
t1793:c0,t4270238:c3,96
t1793:c0,t4420155:c3,93
t1793:c0,t4631622:c3,90
t1793:c0,t5019484:c3,99
t1793:c0,t5019484:c3,99
t1793:c0,t5040064:c3,96
t1793:c0,t5225064:c3,99
t1793:c0,t5230953:c3,98
t1793:c0,t5769411:c3,64
t1793:c0,t6261963:c3,73
t1793:c0,t6261963:c3,92
t1793:c0,t6322312:c3,98
t1793:c0,t6769670:c3,97
t1793:c0,t6769670:c3,90
t1793:c0,t6890489:c3,67
t1793:c0,t7112131:c3,97
t1793:c0,t7112131:c3,88
t1793:c0,t7112131:c3,93
t1793:c0,t7112131:c3,95
t1793:c0,t7442:c3,98
t1793:c0,t7442:c3,98
t1793:c0,t7442:c3,93
t1793:c0,t7561259:c3,99
t1793:c0,t7561259:c3,97
t1793:c0,t7561259:c3,99
t1793:c0,t7561259:c3,96
t1793:c0,t7561259:c3,85
t1793:c0,t7645457:c3,94
t1793:c0,t7645457:c3,99
t1793:c0,t7645457:c3,99
t1793:c0,t8198731:c3,96
t1793:c0,t8458946:c3,89
t1793:c0,t8458946:c3,96
t1793:c0,t9018020:c3,99
t1793:c0,t9018020:c3,99
t1793:c0,t9018020:c3,99
t1793:c0,t9018020:c3,99
t1793:c0,t9018020:c3,85
t1793:c0,t9262857:c3,97
t1793:c0,t9262857:c3,66
t1793:c0,t9262857:c3,92
t1793:c0,t9682701:c3,87
t1793:c0,t9978842:c3,91
t1793:c0,t9978842:c3,92
t1793:c0,t9978842:c3,96
t1793:c0,t10077552:c3,95
t1793:c0,t10077552:c3,99
t1793:c0,t10077552:c3,95
t1793:c0,t10165129:c3,98
t1793:c0,t10165129:c3,98
t1793:c0,t10165129:c3,93
t1793:c0,t1299993:c3,94
t1793:c0,t1299993:c3,96
t1793:c0,t1299993:c3,98
t1793:c0,t1343270:c3,96
t1793:c0,t1357933:c3,99
t1793:c0,t1357933:c3,98
t1793:c0,t1381886:c3,99
t1793:c0,t1381886:c3,99
t1793:c0,t1381886:c3,82
t1793:c0,t1390838:c3,99
t1793:c0,t1390838:c3,99
t1793:c0,t1390838:c3,85
t1793:c0,t1596045:c3,93
t1793:c0,t1596045:c3,97
t1793:c0,t1596045:c3,98
t1793:c0,t2913449:c3,96
t1793:c0,t3082081:c3,95
t1793:c0,t3313927:c3,98
t1793:c0,t4011652:c3,91
t1793:c0,t4011652:c3,93
t1793:c0,t4011652:c3,96
t1793:c0,t4341769:c3,99
t1793:c0,t4341769:c3,99
t1793:c0,t4341769:c3,86
t1793:c0,t4542234:c3,74
t1793:c0,t47423:c3,99
t1793:c0,t47423:c3,99
t1793:c0,t47423:c3,99
t1793:c0,t47423:c3,82
t1793:c0,t4786125:c3,98
t1793:c0,t4947979:c3,99
t1793:c0,t5011423:c3,99
t1793:c0,t5011423:c3,89
t1793:c0,t5011423:c3,93
t1793:c0,t5011423:c3,96
t1793:c0,t5537457:c3,98
t1793:c0,t5594662:c3,96
t1793:c0,t5756420:c3,99
t1793:c0,t5878521:c3,95
t1793:c0,t5878521:c3,97
t1793:c0,t5878521:c3,99
t1793:c0,t6191990:c3,99
t1793:c0,t6191990:c3,86
t1793:c0,t6191990:c3,98
t1793:c0,t6209022:c3,99
t1793:c0,t6209022:c3,98
t1793:c0,t6209022:c3,84
t1793:c0,t6928371:c3,96
t1793:c0,t6928371:c3,99
t1793:c0,t7441493:c3,87
t1793:c0,t79546:c3,99
t1793:c0,t79546:c3,97
t1793:c0,t79546:c3,86
t1793:c0,t8185707:c3,92
t1793:c0,t8370264:c3,99
t1793:c0,t8370264:c3,80
t1793:c0,t8775866:c3,98
t1793:c0,t8775866:c3,99
t1793:c0,t8775866:c3,99
t1793:c0,t8775866:c3,84
t1793:c0,t9355764:c3,99
t1793:c0,t9355764:c3,91
t1793:c0,t9355764:c3,98
t1793:c0,t9355764:c3,72
t1793:c0,t9394955:c3,93
t1793:c0,t9683542:c3,99
t1793:c0,t9683542:c3,93
