tq:q,ts:s,overlap
t1793:c0,t8737262:c1,12
t1793:c0,t7319715:c1,12
t1793:c0,t9205827:c1,12
t1793:c0,t7802369:c3,3
t1793:c0,t1001449:c0,13
t1793:c0,t6711631:c1,418
t1793:c0,t7749676:c0,1
t1793:c0,t6540757:c7,3
t1793:c0,t7829686:c7,3
t1793:c0,t8529725:c7,3
t1793:c0,t9024743:c7,3
t1793:c0,t1120803:c4,3
t1793:c0,t8996760:c7,1
t1793:c0,t9357242:c7,2
t1793:c0,t10197560:c3,1
t1793:c0,t9097496:c0,5
t1793:c0,t696657:c2,2
t1793:c0,t1381007:c0,3
t1793:c0,t1381007:c2,2
t1793:c0,t1828015:c13,1
t1793:c0,t2448018:c0,37
t1793:c0,t8198731:c7,4
t1793:c0,t1388363:c0,21
t1793:c0,t7926417:c0,21
t1793:c0,t696657:c1,4
t1793:c0,t2448018:c1,29
t1793:c0,t3082081:c3,1
t1793:c0,t9743762:c3,1
t1793:c0,t1928103:c3,1
t1793:c0,t6156474:c3,1
t1793:c0,t7661:c1,22
t1793:c0,t7661:c3,1
t1793:c0,t6711631:c4,56
t1793:c0,t5722152:c1,1
t1793:c0,t10209869:c1,2
t1793:c0,t7441493:c0,4
t1793:c0,t4578061:c0,71
t1793:c0,t6540177:c1,11
t1793:c0,t5874053:c18,3
t1793:c0,t6977621:c3,13
t1793:c0,t10016186:c1,4
t1793:c0,t10187567:c0,2
t1793:c0,t2135573:c0,49
t1793:c0,t1493212:c0,59
t1793:c0,t153249:c0,59
t1793:c0,t4274292:c0,59
t1793:c0,t5552800:c0,59
t1793:c0,t7552063:c0,59
t1793:c0,t8054442:c0,59
t1793:c0,t1011515:c2,1
t1793:c0,t6864563:c4,19
t1793:c0,t4947979:c2,3
t1793:c0,t4047698:c23,3
t1793:c0,t8506527:c2,4
t1793:c0,t5347633:c2,3
t1793:c0,t696657:c0,1
t1793:c0,t5040064:c8,4
t1793:c0,t10099842:c1,1
t1793:c0,t1021991:c8,8
t1793:c0,t8030692:c8,8
t1793:c0,t4917262:c0,7
t1793:c0,t353267:c3,3
t1793:c0,t8185707:c3,2
t1793:c0,t5517316:c3,2
t1793:c0,t9721701:c3,1
t1793:c0,t7408743:c6,2
t1793:c0,t7442:c1,3
t1793:c0,t7442:c2,4
t1793:c0,t7442:c3,3
t1793:c0,t7442:c4,4
t1793:c0,t360436:c2,3
t1793:c0,t6711631:c3,13
t1793:c0,t1013430:c2,2
t1793:c0,t539876:c9,4
t1793:c0,t8198731:c11,3
t1793:c0,t10073772:c6,1
t1793:c0,t10252090:c8,1
t1793:c0,t7050609:c2,38
t1793:c0,t10290406:c1,6
t1793:c0,t4341769:c3,7
t1793:c0,t10187567:c2,2
t1793:c0,t10135362:c3,1
t1793:c0,t1296201:c3,4
t1793:c0,t1296201:c4,2
t1793:c0,t9161821:c22,2
t1793:c0,t8737262:c3,36
t1793:c0,t7319715:c3,37
t1793:c0,t9205827:c3,37
t1793:c0,t6471012:c0,1
t1793:c0,t6174996:c1,4
t1793:c0,t10012212:c1,1
t1793:c0,t10245990:c3,1
t1793:c0,t4917262:c2,57
t1793:c0,t8996760:c11,2
t1793:c0,t3640173:c3,3
t1793:c0,t10108445:c2,2
t1793:c0,t1224543:c2,11
t1793:c0,t2284971:c18,1
t1793:c0,t5019484:c18,1
t1793:c0,t10106138:c2,4
t1793:c0,t6322312:c0,4
t1793:c0,t10108445:c4,1
t1793:c0,t5879266:c0,16
t1793:c0,t5822367:c0,11
t1793:c0,t6711631:c10,109
t1793:c0,t10288259:c13,1
t1793:c0,t4947979:c5,7
t1793:c0,t6359497:c1,66
t1793:c0,t10240354:c0,2
t1793:c0,t715296:c2,14
t1793:c0,t2266177:c0,22
t1793:c0,t1683871:c1,6
t1793:c0,t7600072:c1,10
t1793:c0,t101143:c5,3
t1793:c0,t2755244:c3,2
t1793:c0,t3295059:c3,7
t1793:c0,t1683871:c2,28
t1793:c0,t10123484:c0,5
t1793:c0,t8996760:c15,7
t1793:c0,t1381007:c3,10
t1793:c0,t561518:c3,1
t1793:c0,t10172997:c15,1
t1793:c0,t6359470:c6,4
t1793:c0,t10100068:c1,2
t1793:c0,t6864563:c2,18
t1793:c0,t1265089:c1,62
t1793:c0,t3353490:c1,62
t1793:c0,t4937298:c1,62
t1793:c0,t4945772:c1,62
t1793:c0,t5029109:c1,62
t1793:c0,t8495834:c1,62
t1793:c0,t2096776:c1,21
t1793:c0,t3287297:c1,21
t1793:c0,t3295388:c1,21
t1793:c0,t4105424:c1,21
t1793:c0,t6261963:c1,21
t1793:c0,t9682701:c2,18
t1793:c0,t5129968:c1,4
t1793:c0,t9540451:c1,2
t1793:c0,t6540177:c4,1
t1793:c0,t10010944:c0,2
t1793:c0,t10017872:c1,1
t1793:c0,t10073772:c2,1
t1793:c0,t10087234:c2,1
t1793:c0,t10137800:c2,2
t1793:c0,t10161204:c6,1
t1793:c0,t10181521:c2,2
t1793:c0,t10229666:c2,2
t1793:c0,t10244859:c4,2
t1793:c0,t10254257:c7,1
t1793:c0,t10258495:c0,1
t1793:c0,t10296658:c0,1
t1793:c0,t6864563:c0,25
t1793:c0,t20241:c5,3
t1793:c0,t20241:c10,5
t1793:c0,t4978186:c0,9
t1793:c0,t4139008:c3,13
t1793:c0,t9355764:c1,4
t1793:c0,t9355764:c2,4
t1793:c0,t2755244:c8,15
t1793:c0,t4358853:c4,9
t1793:c0,t9203744:c4,9
t1793:c0,t1133209:c4,26
t1793:c0,t7258489:c4,27
t1793:c0,t1468991:c0,6
t1793:c0,t2122609:c0,3
t1793:c0,t532033:c0,11
t1793:c0,t751525:c0,8
t1793:c0,t1596045:c0,9
t1793:c0,t3274228:c0,8
t1793:c0,t8715124:c0,8
t1793:c0,t9740446:c0,7
t1793:c0,t8035289:c0,11
t1793:c0,t407041:c0,6
t1793:c0,t2456584:c0,17
t1793:c0,t2456584:c2,98
t1793:c0,t10077552:c0,1
t1793:c0,t9262857:c6,11
t1793:c0,t10046330:c2,4
t1793:c0,t8951244:c0,29
t1793:c0,t9037196:c4,31
t1793:c0,t4051356:c0,29
t1793:c0,t6506164:c2,2
t1793:c0,t8240457:c3,2
t1793:c0,t6000396:c3,1
t1793:c0,t6854438:c3,3
t1793:c0,t8405041:c15,2
t1793:c0,t10019678:c20,1
t1793:c0,t10291557:c8,1
t1793:c0,t10291557:c9,2
t1793:c0,t1413392:c17,1
t1793:c0,t1255347:c4,4
t1793:c0,t1963300:c12,2
t1793:c0,t2059772:c12,3
t1793:c0,t2059772:c13,1
t1793:c0,t5874053:c12,3
t1793:c0,t8868634:c4,2
t1793:c0,t8868634:c13,2
t1793:c0,t8868634:c15,5
t1793:c0,t10236058:c6,2
t1793:c0,t4157550:c1,6
t1793:c0,t4358853:c2,9
t1793:c0,t9203744:c2,9
t1793:c0,t7060657:c10,1
t1793:c0,t7408743:c4,1
t1793:c0,t8516841:c3,3
t1793:c0,t10073772:c3,1
t1793:c0,t6000396:c5,3
t1793:c0,t8240457:c21,2
t1793:c0,t6000396:c4,2
t1793:c0,t1255347:c7,1
t1793:c0,t6854438:c19,2
t1793:c0,t9876430:c15,2
t1793:c0,t7262668:c0,11
t1793:c0,t1282927:c0,4
t1793:c0,t3198605:c0,24
t1793:c0,t10281462:c4,1
t1793:c0,t6000396:c11,1
t1793:c0,t2807626:c0,47
t1793:c0,t1040921:c1,5
t1793:c0,t4631622:c0,63
t1793:c0,t10055558:c1,2
t1793:c0,t10055558:c2,1
t1793:c0,t2284971:c14,2
t1793:c0,t5019484:c14,2
t1793:c0,t3952433:c0,22
t1793:c0,t3365383:c4,10
t1793:c0,t1659746:c0,20
t1793:c0,t8533787:c0,4
t1793:c0,t9168467:c0,6
t1793:c0,t976953:c0,12
t1793:c0,t3650688:c0,13
t1793:c0,t5878521:c0,9
t1793:c0,t9683542:c0,8
t1793:c0,t4387083:c0,9
t1793:c0,t1218059:c0,7
t1793:c0,t4532504:c0,10
t1793:c0,t8614580:c2,8
t1793:c0,t5067905:c0,20
t1793:c0,t3865734:c0,9
t1793:c0,t3968182:c0,8
t1793:c0,t6359497:c3,37
t1793:c0,t5640287:c8,18
t1793:c0,t1493212:c4,15
t1793:c0,t153249:c4,15
t1793:c0,t4274292:c4,15
t1793:c0,t5552800:c4,15
t1793:c0,t7552063:c4,15
t1793:c0,t8054442:c4,15
t1793:c0,t6769670:c0,17
t1793:c0,t9788813:c0,2
t1793:c0,t4157550:c2,3
t1793:c0,t10197386:c5,1
t1793:c0,t10244859:c15,6
t1793:c0,t7060657:c5,7
t1793:c0,t1021991:c7,7
t1793:c0,t8030692:c7,7
t1793:c0,t3127133:c2,2
t1793:c0,t10043484:c2,1
t1793:c0,t10225128:c2,1
t1793:c0,t1027683:c2,1
t1793:c0,t5130457:c0,5
t1793:c0,t1413392:c13,3
t1793:c0,t1413392:c14,1
t1793:c0,t1413392:c18,1
t1793:c0,t1963300:c14,1
t1793:c0,t1963300:c18,2
t1793:c0,t7154198:c13,2
t1793:c0,t2584037:c13,3
t1793:c0,t8868634:c5,2
t1793:c0,t8868634:c8,2
t1793:c0,t8868634:c11,2
t1793:c0,t5622593:c3,1
t1793:c0,t8516841:c18,2
t1793:c0,t10016034:c4,1
t1793:c0,t10281900:c7,2
t1793:c0,t9037196:c0,8
t1793:c0,t6073407:c0,12
t1793:c0,t8405041:c21,2
t1793:c0,t4933192:c4,4
t1793:c0,t6322312:c3,4
t1793:c0,t10208409:c1,5
t1793:c0,t10198233:c3,2
t1793:c0,t7408743:c0,5
t1793:c0,t267943:c3,5
t1793:c0,t3877552:c3,5
t1793:c0,t5230953:c3,4
t1793:c0,t2948140:c3,2
t1793:c0,t916417:c3,2
t1793:c0,t6832177:c3,2
t1793:c0,t8718081:c3,2
t1793:c0,t5712479:c0,35
t1793:c0,t8737262:c2,155
t1793:c0,t7319715:c2,154
t1793:c0,t9205827:c2,154
t1793:c0,t10280151:c5,1
t1793:c0,t1797446:c6,1
t1793:c0,t9721701:c6,1
t1793:c0,t10165129:c1,2
t1793:c0,t10165129:c2,5
t1793:c0,t10165129:c4,3
t1793:c0,t5989235:c0,13
t1793:c0,t10254257:c0,4
t1793:c0,t4011652:c1,30
t1793:c0,t6854438:c21,3
t1793:c0,t6349752:c8,10
t1793:c0,t1388363:c7,12
t1793:c0,t7926417:c7,12
t1793:c0,t3952433:c1,4
t1793:c0,t10225728:c7,5
t1793:c0,t4490334:c0,3
t1793:c0,t10100068:c2,5
t1793:c0,t1619700:c2,5
t1793:c0,t7749676:c17,1
t1793:c0,t5410705:c1,2
t1793:c0,t5347633:c5,6
t1793:c0,t4490334:c2,3
t1793:c0,t10288259:c14,1
t1793:c0,t3640173:c4,10
t1793:c0,t9626868:c1,10
t1793:c0,t7396483:c1,7
t1793:c0,t10054189:c1,1
t1793:c0,t1019280:c1,1
t1793:c0,t10302392:c1,1
t1793:c0,t7408743:c2,8
t1793:c0,t7561259:c0,12
t1793:c0,t7441493:c1,10
t1793:c0,t1282927:c4,6
t1793:c0,t7050609:c4,31
t1793:c0,t4917262:c1,134
t1793:c0,t7050609:c0,24
t1793:c0,t7924262:c2,2
t1793:c0,t3423530:c0,7
t1793:c0,t4180355:c0,6
t1793:c0,t1299993:c0,7
t1793:c0,t3685616:c0,5
t1793:c0,t9633321:c0,8
t1793:c0,t7442:c5,8
t1793:c0,t10112866:c2,2
t1793:c0,t8930570:c0,13
t1793:c0,t1040921:c3,3
t1793:c0,t10255653:c2,1
t1793:c0,t8183565:c4,53
t1793:c0,t5229366:c3,9
t1793:c0,t10012212:c2,1
t1793:c0,t6540177:c0,13
t1793:c0,t2990386:c3,3
t1793:c0,t1301448:c0,1
t1793:c0,t20241:c9,1
t1793:c0,t10239283:c4,1
t1793:c0,t10083626:c0,1
t1793:c0,t4490334:c4,2
t1793:c0,t10296658:c1,1
t1793:c0,t1888630:c0,4
t1793:c0,t4358853:c3,1
t1793:c0,t9203744:c3,1
t1793:c0,t10015918:c3,2
t1793:c0,t7550138:c0,44
