TQ:Q, TS:S, qindex, sindex, q, s, d
5:1, 55422:1, 0, 3, [], [], 0.000
5:1, 95914:1, 0, 2, [], [], 0.000
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
5:1, 36425:0, 0, 11, [], [], 0.312
