k,recall,precision,time
1,0.001000,1.000000,0.000657
3,0.003000,1.000000,0.000657
5,0.005000,1.000000,0.000658
7,0.007000,1.000000,0.000659
10,0.010000,1.000000,0.000659
30,0.030000,1.000000,0.000666
50,0.050000,1.000000,0.000674
70,0.070000,1.000000,0.000682
100,0.100000,1.000000,0.000690
300,0.300000,1.000000,0.000762
500,0.500000,1.000000,0.000837
700,0.700000,1.000000,0.000914
1000,0.999000,0.999000,0.001024
