k;s;d;recall;
152;(75369,8,5);0.222282;1.000000;
153;(53396,7,31);0.227183;1.000000;
154;(69405,0,4);0.230418;1.000000;
155;(53046,1,623);0.230510;1.000000;
156;(16154,0,2);0.234830;1.000000;
157;(38065,0,3);0.234830;1.000000;
158;(67362,0,3);0.234830;1.000000;
159;(101865,6,4);0.234830;1.000000;
160;(108905,0,3);0.234830;1.000000;
161;(95549,0,6);0.237760;1.000000;
162;(30065,2,25);0.242550;1.000000;
163;(5420,1,1);0.242843;1.000000;
164;(104472,1,40);0.245748;1.000000;
165;(35957,0,67);0.246416;1.000000;
166;(65907,0,36);0.246416;1.000000;
167;(72782,0,12);0.246416;1.000000;
168;(92767,0,12);0.246416;1.000000;
169;(42792,1,2);0.247940;1.000000;
170;(81571,0,21);0.249825;1.000000;
171;(53095,1,2);0.251013;1.000000;
172;(105565,1,2);0.251013;1.000000;
173;(30065,2,16);0.251096;1.000000;
174;(114084,1,3);0.252705;1.000000;
175;(89954,3,2);0.253829;1.000000;
176;(30065,2,24);0.254750;1.000000;
177;(65326,3,14);0.254750;1.000000;
178;(955,2,3);0.257678;1.000000;
179;(30065,2,21);0.258040;1.000000;
180;(53046,1,436);0.259817;1.000000;
181;(30065,2,20);0.261368;1.000000;
182;(40669,7,20);0.261951;1.000000;
183;(94174,1,1);0.262153;1.000000;
184;(107410,3,15);0.263404;1.000000;
185;(76044,3,1242);0.263445;1.000000;
186;(63714,3,111);0.264209;1.000000;
187;(109458,1,14);0.264609;1.000000;
188;(114084,1,2);0.264609;1.000000;
189;(30065,2,26);0.265193;1.000000;
190;(4962,0,0);0.265925;1.000000;
191;(30618,0,0);0.265925;1.000000;
192;(108517,0,0);0.265925;1.000000;
193;(53043,0,100);0.267751;1.000000;
194;(22926,0,0);0.267753;1.000000;
195;(53046,1,424);0.269077;1.000000;
196;(76044,3,621);0.269124;1.000000;
197;(5867,3,4);0.269198;1.000000;
198;(56588,2,16);0.269479;1.000000;
199;(110308,0,4);0.269558;1.000000;
200;(100609,4,9);0.270330;1.000000;
201;(62792,0,5);0.270798;1.000000;
202;(80234,1,2);0.271345;1.000000;
203;(30065,2,23);0.271903;1.000000;
204;(37911,3,1);0.272022;1.000000;
205;(89775,3,1);0.272022;1.000000;
206;(68543,4,5);0.273065;1.000000;
207;(30065,2,27);0.273752;1.000000;
208;(22265,5,32);0.275076;1.000000;
209;(73128,1,1);0.275509;1.000000;
210;(65326,3,15);0.275670;1.000000;
211;(81895,5,3);0.275670;1.000000;
212;(89587,1,178);0.276808;1.000000;
213;(30065,2,22);0.276937;1.000000;
214;(32981,0,50);0.277180;1.000000;
215;(4591,2,69);0.277314;1.000000;
216;(8772,1,70);0.277314;1.000000;
217;(1081,1,0);0.277795;1.000000;
218;(102474,0,23);0.278726;1.000000;
219;(84954,4,522);0.279016;1.000000;
220;(5955,0,5);0.279319;1.000000;
221;(87448,0,48);0.279765;1.000000;
222;(95549,0,4);0.280139;1.000000;
223;(53046,1,435);0.280396;1.000000;
224;(10041,0,15);0.281030;1.000000;
225;(12981,1,42);0.281030;1.000000;
226;(21614,1,51);0.281030;1.000000;
227;(31871,1,44);0.281030;1.000000;
228;(38660,2,22);0.281030;1.000000;
229;(38721,1,5);0.281030;1.000000;
230;(80205,3,5);0.281030;1.000000;
231;(87772,1,8);0.281030;1.000000;
232;(89645,1,46);0.281030;1.000000;
233;(104769,0,5);0.281030;1.000000;
234;(61085,0,5);0.281444;1.000000;
235;(6755,2,1);0.281513;1.000000;
236;(52959,2,24);0.281513;1.000000;
237;(39061,2,53);0.281755;1.000000;
238;(65721,1,2);0.281760;1.000000;
239;(7383,2,191);0.283490;1.000000;
240;(51381,1,5);0.283490;1.000000;
241;(105980,0,3);0.283605;1.000000;
242;(4591,2,67);0.283650;1.000000;
243;(59686,2,15);0.283681;1.000000;
244;(115451,2,69);0.283681;1.000000;
245;(73142,0,104);0.283912;1.000000;
246;(75708,0,105);0.283912;1.000000;
247;(70463,3,14);0.283975;1.000000;
248;(38017,0,18);0.284180;1.000000;
249;(38302,0,0);0.284728;1.000000;
250;(46416,0,0);0.284728;1.000000;
251;(64071,0,1);0.284728;1.000000;
252;(90793,0,1);0.284728;1.000000;
253;(113355,0,1);0.284728;1.000000;
254;(25495,1,0);0.284735;1.000000;
255;(32953,1,2);0.284735;1.000000;
256;(69416,1,1);0.284735;1.000000;
257;(99777,1,1);0.284735;1.000000;
258;(14901,1,30);0.285280;1.000000;
259;(19512,1,0);0.285434;1.000000;
260;(30065,2,17);0.285678;1.000000;
261;(65326,3,12);0.285678;1.000000;
262;(76044,3,1331);0.286172;1.000000;
263;(4591,2,65);0.286676;1.000000;
264;(14249,0,7);0.286797;1.000000;
265;(15134,3,16);0.286797;1.000000;
266;(38065,0,11);0.286797;1.000000;
267;(67362,0,11);0.286797;1.000000;
268;(108905,0,11);0.286797;1.000000;
269;(7821,0,12);0.287269;1.000000;
270;(80397,1,0);0.287394;1.000000;
271;(53046,1,339);0.287447;1.000000;
272;(95549,0,8);0.287932;1.000000;
273;(24645,0,169);0.289123;1.000000;
274;(4333,0,1);0.289232;1.000000;
275;(9168,4,62);0.289232;1.000000;
276;(13484,1,74);0.289232;1.000000;
277;(14570,0,1);0.289232;1.000000;
278;(15531,0,5);0.289232;1.000000;
279;(17065,0,3);0.289232;1.000000;
280;(19659,0,8);0.289232;1.000000;
281;(26461,0,19);0.289232;1.000000;
282;(32320,0,2);0.289232;1.000000;
283;(33369,0,9);0.289232;1.000000;
284;(36514,0,5);0.289232;1.000000;
285;(48573,0,13);0.289232;1.000000;
286;(54280,0,1);0.289232;1.000000;
287;(57067,0,3);0.289232;1.000000;
288;(60961,0,0);0.289232;1.000000;
289;(69079,2,137);0.289232;1.000000;
290;(75511,0,9);0.289232;1.000000;
291;(75763,0,6);0.289232;1.000000;
292;(78011,0,9);0.289232;1.000000;
293;(80457,0,6);0.289232;1.000000;
294;(83560,0,2);0.289232;1.000000;
295;(85505,2,5);0.289232;1.000000;
296;(92708,0,17);0.289232;1.000000;
297;(46423,0,22);0.289558;1.000000;
298;(113772,0,4);0.289848;1.000000;
299;(98002,0,19);0.290022;1.000000;
300;(7648,4,2);0.290210;1.000000;
301;(88475,4,3);0.290210;1.000000;
302;(82566,0,42);0.291066;1.000000;
303;(103953,0,42);0.291066;1.000000;
304;(36604,3,8);0.291314;1.000000;
