k;s;d;recall;
1;(7369,0,16);0.000000;1.000000;
2;(9175,0,16);0.000000;1.000000;
3;(10283,0,16);0.000000;1.000000;
4;(11835,0,3);0.000000;1.000000;
5;(13459,0,16);0.000000;1.000000;
6;(19230,0,16);0.000000;1.000000;
7;(21879,0,6);0.000000;1.000000;
8;(24739,0,16);0.000000;1.000000;
9;(24806,0,14);0.000000;1.000000;
10;(24922,0,16);0.000000;1.000000;
11;(28086,0,14);0.000000;1.000000;
12;(29659,0,1);0.000000;1.000000;
13;(30131,0,1);0.000000;1.000000;
14;(33418,0,16);0.000000;1.000000;
15;(33929,0,16);0.000000;1.000000;
16;(39552,0,9);0.000000;1.000000;
17;(39817,0,16);0.000000;1.000000;
18;(40000,0,16);0.000000;1.000000;
19;(41279,0,7);0.000000;1.000000;
20;(43003,0,16);0.000000;1.000000;
21;(44001,0,14);0.000000;1.000000;
22;(44856,0,16);0.000000;1.000000;
23;(45089,0,16);0.000000;1.000000;
24;(49783,0,16);0.000000;1.000000;
25;(51320,0,3);0.000000;1.000000;
26;(52426,0,16);0.000000;1.000000;
27;(52897,0,16);0.000000;1.000000;
28;(55222,0,3);0.000000;1.000000;
29;(56589,0,2);0.000000;1.000000;
30;(56776,0,3);0.000000;1.000000;
31;(57556,0,14);0.000000;1.000000;
32;(57970,0,14);0.000000;1.000000;
33;(58987,0,2);0.000000;1.000000;
34;(60313,0,16);0.000000;1.000000;
35;(62478,0,1);0.000000;1.000000;
36;(63230,0,16);0.000000;1.000000;
37;(63336,0,16);0.000000;1.000000;
38;(64619,0,0);0.000000;1.000000;
39;(67111,0,1);0.000000;1.000000;
40;(71688,0,16);0.000000;1.000000;
41;(72376,0,16);0.000000;1.000000;
42;(73884,0,16);0.000000;1.000000;
43;(76199,0,16);0.000000;1.000000;
44;(76342,0,16);0.000000;1.000000;
45;(77902,0,16);0.000000;1.000000;
46;(80206,0,16);0.000000;1.000000;
47;(81745,0,1);0.000000;1.000000;
48;(81912,0,16);0.000000;1.000000;
49;(81954,0,14);0.000000;1.000000;
50;(84560,0,3);0.000000;1.000000;
51;(84990,0,16);0.000000;1.000000;
52;(89308,0,1);0.000000;1.000000;
53;(90374,0,16);0.000000;1.000000;
54;(93015,0,16);0.000000;1.000000;
55;(93810,0,6);0.000000;1.000000;
56;(94215,0,6);0.000000;1.000000;
57;(94690,0,16);0.000000;1.000000;
58;(95334,0,1);0.000000;1.000000;
59;(95924,0,1);0.000000;1.000000;
60;(97547,0,1);0.000000;1.000000;
61;(97734,0,1);0.000000;1.000000;
62;(98422,0,16);0.000000;1.000000;
63;(98709,0,1);0.000000;1.000000;
64;(100548,0,0);0.000000;1.000000;
65;(101817,0,3);0.000000;1.000000;
66;(108294,0,2);0.000000;1.000000;
67;(108304,0,11);0.000000;1.000000;
68;(109750,0,16);0.000000;1.000000;
69;(111791,0,1);0.000000;1.000000;
70;(112949,0,16);0.000000;1.000000;
71;(115292,0,3);0.000000;1.000000;
72;(45717,0,5);0.092248;1.000000;
73;(110308,0,32);0.092248;1.000000;
74;(42792,1,2);0.165578;1.000000;
75;(7369,0,15);0.189216;1.000000;
76;(9175,0,15);0.189216;1.000000;
77;(10283,0,15);0.189216;1.000000;
78;(11835,0,2);0.189216;1.000000;
79;(13459,0,15);0.189216;1.000000;
80;(19230,0,15);0.189216;1.000000;
81;(21879,0,5);0.189216;1.000000;
82;(24739,0,15);0.189216;1.000000;
83;(24806,0,13);0.189216;1.000000;
84;(24922,0,15);0.189216;1.000000;
85;(25818,0,3);0.189216;1.000000;
86;(28086,0,13);0.189216;1.000000;
87;(29659,0,0);0.189216;1.000000;
88;(30131,0,0);0.189216;1.000000;
89;(33418,0,15);0.189216;1.000000;
90;(33929,0,15);0.189216;1.000000;
91;(39552,0,8);0.189216;1.000000;
92;(39817,0,15);0.189216;1.000000;
93;(40000,0,15);0.189216;1.000000;
94;(41279,0,6);0.189216;1.000000;
95;(43003,0,15);0.189216;1.000000;
96;(44001,0,13);0.189216;1.000000;
97;(44856,0,15);0.189216;1.000000;
98;(45089,0,15);0.189216;1.000000;
99;(49783,0,15);0.189216;1.000000;
100;(51320,0,2);0.189216;1.000000;
101;(52426,0,15);0.189216;1.000000;
102;(52897,0,15);0.189216;1.000000;
103;(55222,0,2);0.189216;1.000000;
104;(56589,0,1);0.189216;1.000000;
105;(56776,0,2);0.189216;1.000000;
106;(57556,0,13);0.189216;1.000000;
107;(57970,0,13);0.189216;1.000000;
108;(58987,0,1);0.189216;1.000000;
109;(60313,0,15);0.189216;1.000000;
110;(62478,0,0);0.189216;1.000000;
111;(63230,0,15);0.189216;1.000000;
112;(63336,0,15);0.189216;1.000000;
113;(67111,0,0);0.189216;1.000000;
114;(71688,0,15);0.189216;1.000000;
115;(72376,0,15);0.189216;1.000000;
116;(73884,0,15);0.189216;1.000000;
117;(76199,0,15);0.189216;1.000000;
118;(76342,0,15);0.189216;1.000000;
119;(77902,0,15);0.189216;1.000000;
120;(80206,0,15);0.189216;1.000000;
