k,recall,precision,time
1,0.012187,1.000000,0.002117
3,0.036561,1.000000,0.002125
5,0.060935,1.000000,0.002129
7,0.085309,1.000000,0.002133
10,0.121870,1.000000,0.002138
30,0.365609,1.000000,0.002164
50,0.609348,1.000000,0.002201
70,0.843444,1.000000,12.954075
100,0.990759,1.000000,82.159096
300,1.000000,1.000000,83.520073
500,1.000000,1.000000,83.520378
700,1.000000,1.000000,83.520691
1000,1.000000,1.000000,83.521172
1,0.000000,0.000000,110.519936
3,0.000000,0.000000,110.519936
5,0.000000,0.000000,110.519936
7,0.000000,0.000000,110.519936
10,0.000000,0.000000,110.519951
30,0.000000,0.000000,110.520050
50,0.000000,0.000000,111.475182
70,0.000000,0.000000,111.475197
100,0.000000,0.000000,111.475258
300,0.000000,0.000000,111.475616
500,0.000000,0.000000,111.475975
700,0.000000,0.000000,111.476326
1000,0.000000,0.000000,111.476845
1,0.003462,1.000000,0.001973
3,0.010385,1.000000,0.001977
5,0.017309,1.000000,0.001979
7,0.024232,1.000000,0.001984
10,0.034618,1.000000,0.001992
30,0.103853,1.000000,0.002014
50,0.173088,1.000000,0.002046
70,0.242323,1.000000,0.002076
100,0.346176,1.000000,0.002122
300,0.974831,1.000000,87.704979
500,0.995154,1.000000,92.233795
700,1.000000,1.000000,93.100174
1000,1.000000,1.000000,93.100677
1,0.003548,1.000000,0.001746
3,0.010643,1.000000,0.001750
5,0.017738,1.000000,0.001751
7,0.024833,1.000000,0.001753
10,0.035475,1.000000,0.001755
30,0.106426,1.000000,0.001776
50,0.177376,1.000000,0.001805
70,0.248326,1.000000,0.001829
100,0.354752,1.000000,0.001864
300,0.991806,1.000000,58.568085
500,1.000000,1.000000,59.506901
700,1.000000,1.000000,60.542534
1000,1.000000,1.000000,60.542900
1,0.018957,1.000000,54.374882
3,0.033175,1.000000,57.263306
5,0.042654,1.000000,57.443073
7,0.052133,1.000000,57.443081
10,0.066351,1.000000,57.443081
30,0.161137,1.000000,57.443092
50,0.255924,1.000000,57.443111
70,0.350711,1.000000,57.443127
100,0.492891,1.000000,57.443157
300,1.000000,1.000000,58.347771
500,1.000000,1.000000,58.347961
700,1.000000,1.000000,58.348145
1000,1.000000,1.000000,58.348415
1,0.342857,1.000000,42.759598
3,0.828571,1.000000,46.987286
5,0.914286,1.000000,52.054100
7,0.971429,1.000000,52.054100
10,1.000000,1.000000,52.936203
30,1.000000,1.000000,52.936230
50,1.000000,1.000000,52.936249
70,1.000000,1.000000,52.936275
100,1.000000,1.000000,52.936314
300,1.000000,1.000000,52.936512
500,1.000000,1.000000,52.936722
700,1.000000,1.000000,52.936928
1000,1.000000,1.000000,52.937256
1,0.008606,1.000000,49.435799
3,0.013769,1.000000,52.795681
5,0.017212,1.000000,52.795689
7,0.020654,1.000000,52.795689
10,0.025818,1.000000,52.795696
30,0.060241,1.000000,52.795712
50,0.094664,1.000000,52.795719
70,0.129088,1.000000,52.795746
100,0.180723,1.000000,52.885876
300,0.524957,1.000000,52.886093
500,0.869191,1.000000,52.886299
700,1.000000,1.000000,53.807827
1000,1.000000,1.000000,53.808144
1,0.012903,1.000000,46.828701
3,0.032258,1.000000,47.710754
5,0.051613,1.000000,47.800762
7,0.070968,1.000000,47.800774
10,0.100000,1.000000,47.800777
30,0.245161,1.000000,48.843910
50,0.374194,1.000000,48.843929
70,0.503226,1.000000,48.843937
100,0.696774,1.000000,48.843975
300,1.000000,1.000000,50.616077
500,1.000000,1.000000,50.616276
700,1.000000,1.000000,50.616482
1000,1.000000,1.000000,50.616798
1,0.137255,1.000000,63.770153
3,0.274510,1.000000,66.949539
5,0.392157,1.000000,66.949539
7,0.470588,1.000000,67.964851
10,0.588235,1.000000,68.056747
30,1.000000,1.000000,69.817909
50,1.000000,1.000000,69.817924
70,1.000000,1.000000,69.817955
100,1.000000,1.000000,69.817993
300,1.000000,1.000000,69.818199
500,1.000000,1.000000,69.818420
700,1.000000,1.000000,69.818649
1000,1.000000,1.000000,69.818954
