Key : 3 Value : 990989
Key : 6 Value : 698709
Key : 4 Value : 302970
Key : 5 Value : 255013
Key : 7 Value : 176545
Key : 9 Value : 143883
Key : 8 Value : 84410
Key : 14 Value : 59216
Key : 11 Value : 50150
Key : 17 Value : 45769
Key : 10 Value : 39955
Key : 12 Value : 27083
Key : 13 Value : 24863
Key : 15 Value : 23976
Key : 16 Value : 21900
Key : 22 Value : 17131
Key : 18 Value : 15451
Key : 23 Value : 13637
Key : 20 Value : 13083
Key : 19 Value : 12979
Key : 21 Value : 11745
Key : 24 Value : 8398
Key : 25 Value : 6275
Key : 26 Value : 5751
Key : 27 Value : 5534
Key : 28 Value : 4939
Key : 200 Value : 4433
Key : 30 Value : 4183
Key : 29 Value : 3964
Key : 100 Value : 3426
Key : 31 Value : 3323
Key : 34 Value : 2881
Key : 33 Value : 2820
Key : 32 Value : 2763
Key : 35 Value : 2260
Key : 36 Value : 2133
Key : 56 Value : 2021
Key : 37 Value : 1923
Key : 41 Value : 1899
Key : 40 Value : 1674
Key : 39 Value : 1608
Key : 51 Value : 1592
Key : 38 Value : 1566
Key : 42 Value : 1525
Key : 75 Value : 1477
Key : 43 Value : 1442
Key : 45 Value : 1440
Key : 53 Value : 1421
Key : 44 Value : 1204
Key : 52 Value : 1127
Key : 46 Value : 1105
Key : 54 Value : 1059
Key : 55 Value : 1043
Key : 47 Value : 1040
Key : 49 Value : 996
Key : 48 Value : 995
Key : 50 Value : 923
Key : 57 Value : 802
Key : 63 Value : 797
Key : 60 Value : 719
Key : 58 Value : 707
Key : 61 Value : 648
Key : 257 Value : 605
Key : 65 Value : 593
Key : 62 Value : 538
Key : 59 Value : 534
Key : 67 Value : 468
Key : 101 Value : 465
Key : 69 Value : 462
Key : 64 Value : 454
Key : 70 Value : 421
Key : 72 Value : 415
Key : 68 Value : 406
Key : 66 Value : 395
Key : 102 Value : 394
Key : 71 Value : 369
Key : 81 Value : 356
Key : 74 Value : 338
Key : 73 Value : 331
Key : 87 Value : 320
Key : 77 Value : 310
Key : 85 Value : 306
Key : 78 Value : 297
Key : 83 Value : 280
Key : 90 Value : 276
Key : 109 Value : 270
Key : 97 Value : 255
Key : 106 Value : 254
Key : 145 Value : 249
Key : 121 Value : 248
Key : 89 Value : 235
Key : 92 Value : 214
Key : 76 Value : 214
Key : 80 Value : 208
Key : 95 Value : 202
Key : 86 Value : 200
Key : 104 Value : 200
Key : 79 Value : 186
Key : 118 Value : 185
Key : 138 Value : 180
Key : 141 Value : 178
Key : 82 Value : 176
Key : 93 Value : 169
Key : 131 Value : 160
Key : 115 Value : 158
Key : 110 Value : 155
Key : 117 Value : 153
Key : 120 Value : 152
Key : 107 Value : 151
Key : 99 Value : 150
Key : 84 Value : 150
Key : 91 Value : 148
Key : 111 Value : 140
