TQ:Q, TS:S, q_pos, s_pos, q, s, d
4:0, 100024:4, 0, 0, [], [], 0.000
4:0, 99692:0, 1, 1, [], [], 0.000
4:0, 99421:0, 2, 3, [], [], 0.000
4:0, 99080:1, 3, 1, [], [], 0.000
4:0, 98163:0, 4, 5, [], [], 0.000
4:0, 100063:3, 5, 2, [], [], 0.000
4:0, 99214:2, 6, 0, [], [], 0.000
4:0, 100063:3, 7, 5, [], [], 0.000
4:0, 99832:6, 8, 0, [], [], 0.000
4:0, 99636:3, 9, 0, [], [], 0.000
4:0, 99314:0, 10, 0, [], [], 0.000
4:0, 100063:3, 11, 6, [], [], 0.000
4:0, 100046:10, 12, 1, [], [], 0.000
4:0, 100046:10, 13, 2, [], [], 0.000
4:0, 100046:10, 14, 3, [], [], 0.000
4:0, 100046:10, 15, 5, [], [], 0.000
4:0, 100024:4, 16, 1, [], [], 0.000
4:0, 100046:10, 17, 7, [], [], 0.000
4:0, 100046:10, 18, 9, [], [], 0.000
4:0, 100046:11, 19, 2, [], [], 0.000
4:0, 100046:11, 20, 4, [], [], 0.000
4:0, 100046:9, 21, 9, [], [], 0.000
4:0, 100046:11, 22, 7, [], [], 0.000
4:0, 100046:9, 23, 10, [], [], 0.000
4:0, 100046:11, 24, 9, [], [], 0.000
4:0, 100046:11, 25, 10, [], [], 0.000
4:0, 98952:2, 26, 6, [], [], 0.000
4:0, 95449:4, 27, 0, [], [], 0.000
4:0, 99312:3, 28, 1, [], [], 0.000
4:0, 99477:3, 29, 4, [], [], 0.000
4:0, 98292:2, 30, 2, [], [], 0.000
4:0, 98952:0, 31, 7, [], [], 0.000
4:0, 98002:2, 32, 10, [], [], 0.000
4:0, 99281:3, 33, 7, [], [], 0.000
4:0, 98641:6, 34, 5, [], [], 0.000
4:0, 98641:6, 35, 6, [], [], 0.000
4:0, 98002:2, 36, 13, [], [], 0.000
4:0, 99530:1, 37, 0, [], [], 0.000
4:0, 99281:3, 38, 8, [], [], 0.000
4:0, 98509:0, 39, 10, [], [], 0.000
4:0, 99012:0, 40, 9, [], [], 0.000
4:0, 98002:2, 41, 17, [], [], 0.000
4:0, 98002:2, 42, 18, [], [], 0.000
4:0, 98655:1, 43, 0, [], [], 0.000
4:0, 99530:2, 44, 0, [], [], 0.000
4:0, 99214:1, 45, 2, [], [], 0.000
4:0, 99012:0, 46, 11, [], [], 0.000
4:0, 98373:4, 47, 5, [], [], 0.000
4:0, 98436:0, 48, 3, [], [], 0.000
4:0, 99214:2, 49, 1, [], [], 0.000
4:0, 99012:0, 50, 12, [], [], 0.000
4:0, 98373:4, 51, 7, [], [], 0.000
4:0, 98952:0, 52, 10, [], [], 0.000
4:0, 99530:1, 53, 1, [], [], 0.000
4:0, 100036:0, 54, 1, [], [], 0.000
