TQ:Q, TS:S, qindex, sindex, q, s, d
77637:3, 2:0, 0, 0, [], [], 0.000
77637:3, 2:0, 0, 2, [], [], 0.048
77637:3, 2:0, 0, 2, [], [], 0.063
77637:3, 2:0, 0, 2, [], [], 0.064
77637:3, 2:0, 0, 2, [], [], 0.081
77637:3, 2:0, 0, 2, [], [], 0.083
77637:3, 2:0, 0, 2, [], [], 0.105
77637:3, 2:0, 0, 2, [], [], 0.110
77637:3, 2:0, 0, 2, [], [], 0.125
77637:3, 2:0, 0, 2, [], [], 0.127
77637:3, 2:0, 0, 2, [], [], 0.129
77637:3, 2:0, 0, 2, [], [], 0.136
77637:3, 2:0, 0, 2, [], [], 0.140
77637:3, 2:0, 0, 2, [], [], 0.144
77637:3, 2:0, 0, 2, [], [], 0.149
77637:3, 2:0, 0, 2, [], [], 0.154
77637:3, 2:0, 0, 2, [], [], 0.154
77637:3, 2:0, 0, 8, [], [], 0.154
77637:3, 2:0, 0, 9, [], [], 0.162
77637:3, 2:0, 0, 9, [], [], 0.163
77637:3, 2:0, 0, 9, [], [], 0.164
77637:3, 2:0, 0, 9, [], [], 0.169
77637:3, 2:0, 0, 9, [], [], 0.169
77637:3, 2:0, 0, 9, [], [], 0.170
77637:3, 2:4, 0, 6, [], [], 0.172
77637:3, 2:4, 0, 6, [], [], 0.174
77637:3, 2:4, 0, 6, [], [], 0.176
77637:3, 2:4, 0, 6, [], [], 0.180
77637:3, 2:4, 0, 6, [], [], 0.183
77637:3, 2:4, 0, 6, [], [], 0.188
77637:3, 2:4, 0, 6, [], [], 0.201
77637:3, 2:4, 0, 6, [], [], 0.203
77637:3, 2:4, 0, 6, [], [], 0.207
77637:3, 2:4, 0, 6, [], [], 0.208
77637:3, 2:4, 0, 6, [], [], 0.209
77637:3, 2:4, 0, 6, [], [], 0.211
77637:3, 2:4, 0, 6, [], [], 0.213
77637:3, 2:4, 0, 6, [], [], 0.213
77637:3, 2:4, 0, 6, [], [], 0.217
77637:3, 2:4, 0, 6, [], [], 0.218
77637:3, 2:4, 0, 6, [], [], 0.218
77637:3, 2:4, 0, 6, [], [], 0.219
77637:3, 2:4, 0, 6, [], [], 0.219
77637:3, 2:4, 0, 6, [], [], 0.219
77637:3, 2:4, 0, 6, [], [], 0.221
77637:3, 2:4, 0, 6, [], [], 0.222
77637:3, 2:4, 0, 6, [], [], 0.223
77637:3, 2:4, 0, 6, [], [], 0.225
77637:3, 2:4, 0, 6, [], [], 0.225
77637:3, 2:4, 0, 6, [], [], 0.227
77637:3, 2:4, 0, 6, [], [], 0.229
77637:3, 2:4, 0, 6, [], [], 0.232
77637:3, 2:4, 0, 6, [], [], 0.232
77637:3, 2:4, 0, 6, [], [], 0.237
77637:3, 2:4, 0, 6, [], [], 0.239
77637:3, 2:4, 0, 6, [], [], 0.239
77637:3, 2:4, 0, 6, [], [], 0.241
77637:3, 2:4, 0, 6, [], [], 0.287
77637:3, 2:4, 0, 6, [], [], 0.287
77637:3, 2:4, 0, 6, [], [], 0.301
77637:3, 2:4, 0, 6, [], [], 0.309
77637:3, 2:4, 0, 6, [], [], 0.311
77637:3, 2:4, 0, 6, [], [], 0.313
77637:3, 2:4, 0, 6, [], [], 0.314
77637:3, 2:4, 0, 6, [], [], 0.315
77637:3, 2:4, 0, 6, [], [], 0.316
77637:3, 2:4, 0, 6, [], [], 0.320
77637:3, 2:4, 0, 6, [], [], 0.325
77637:3, 2:4, 0, 6, [], [], 0.329
77637:3, 2:4, 0, 6, [], [], 0.333
77637:3, 2:4, 0, 6, [], [], 0.335
77637:3, 2:4, 0, 6, [], [], 0.339
77637:3, 2:4, 0, 6, [], [], 0.339
77637:3, 2:4, 0, 6, [], [], 0.339
77637:3, 2:4, 0, 6, [], [], 0.343
77637:3, 2:4, 0, 6, [], [], 0.351
77637:3, 2:4, 0, 6, [], [], 0.351
77637:3, 2:4, 0, 6, [], [], 0.356
77637:3, 2:4, 0, 6, [], [], 0.360
77637:3, 2:4, 0, 6, [], [], 0.361
77637:3, 2:4, 0, 6, [], [], 0.363
77637:3, 2:4, 0, 6, [], [], 0.366
77637:3, 2:4, 0, 6, [], [], 0.368
77637:3, 2:4, 0, 6, [], [], 0.368
77637:3, 2:4, 0, 6, [], [], 0.369
77637:3, 2:4, 0, 6, [], [], 0.370
77637:3, 2:4, 0, 6, [], [], 0.373
77637:3, 2:4, 0, 6, [], [], 0.374
77637:3, 2:4, 0, 6, [], [], 0.375
77637:3, 2:4, 0, 6, [], [], 0.377
77637:3, 2:4, 0, 6, [], [], 0.377
77637:3, 2:4, 0, 6, [], [], 0.378
77637:3, 2:4, 0, 6, [], [], 0.380
77637:3, 2:4, 0, 6, [], [], 0.380
77637:3, 2:4, 0, 6, [], [], 0.380
77637:3, 2:4, 0, 6, [], [], 0.380
77637:3, 2:4, 0, 6, [], [], 0.381
77637:3, 2:4, 0, 6, [], [], 0.385
77637:3, 2:4, 0, 6, [], [], 0.391
77637:3, 2:4, 0, 6, [], [], 0.394
77637:3, 1:1, 1, 1, [], [], 0.000
77637:3, 1:1, 1, 1, [], [], 0.014
77637:3, 1:1, 1, 1, [], [], 0.016
77637:3, 1:1, 1, 1, [], [], 0.023
77637:3, 1:1, 1, 1, [], [], 0.026
77637:3, 1:1, 1, 1, [], [], 0.033
77637:3, 1:1, 1, 1, [], [], 0.037
77637:3, 1:1, 1, 1, [], [], 0.040
77637:3, 1:1, 1, 1, [], [], 0.043
77637:3, 1:1, 1, 1, [], [], 0.046
77637:3, 1:1, 1, 1, [], [], 0.047
77637:3, 1:1, 1, 1, [], [], 0.054
77637:3, 1:1, 1, 1, [], [], 0.055
77637:3, 1:1, 1, 1, [], [], 0.055
77637:3, 1:1, 1, 1, [], [], 0.060
77637:3, 1:1, 1, 1, [], [], 0.061
77637:3, 1:1, 1, 1, [], [], 0.062
77637:3, 1:1, 1, 1, [], [], 0.062
77637:3, 1:1, 1, 1, [], [], 0.064
77637:3, 1:1, 1, 1, [], [], 0.066
77637:3, 1:1, 1, 1, [], [], 0.067
77637:3, 1:1, 1, 1, [], [], 0.068
77637:3, 1:1, 1, 1, [], [], 0.068
77637:3, 1:1, 1, 1, [], [], 0.068
77637:3, 1:1, 1, 1, [], [], 0.072
77637:3, 1:1, 1, 1, [], [], 0.072
77637:3, 1:1, 1, 1, [], [], 0.077
77637:3, 1:1, 1, 1, [], [], 0.084
77637:3, 1:1, 1, 1, [], [], 0.091
77637:3, 1:1, 1, 1, [], [], 0.093
77637:3, 1:1, 1, 1, [], [], 0.095
77637:3, 1:1, 1, 1, [], [], 0.102
77637:3, 1:1, 1, 1, [], [], 0.109
77637:3, 1:1, 1, 1, [], [], 0.111
77637:3, 1:1, 1, 1, [], [], 0.113
77637:3, 1:1, 1, 1, [], [], 0.115
77637:3, 1:1, 1, 1, [], [], 0.116
77637:3, 1:1, 1, 1, [], [], 0.116
77637:3, 1:1, 1, 1, [], [], 0.116
77637:3, 1:1, 1, 1, [], [], 0.119
77637:3, 1:1, 1, 1, [], [], 0.125
77637:3, 1:1, 1, 1, [], [], 0.126
77637:3, 1:1, 1, 1, [], [], 0.126
77637:3, 1:1, 1, 1, [], [], 0.127
77637:3, 1:1, 1, 1, [], [], 0.128
77637:3, 1:1, 1, 1, [], [], 0.129
77637:3, 1:1, 1, 1, [], [], 0.130
77637:3, 1:1, 1, 1, [], [], 0.132
77637:3, 1:1, 1, 1, [], [], 0.133
77637:3, 1:1, 1, 1, [], [], 0.134
77637:3, 1:1, 1, 1, [], [], 0.134
77637:3, 1:1, 1, 1, [], [], 0.136
77637:3, 1:1, 1, 1, [], [], 0.136
77637:3, 1:1, 1, 1, [], [], 0.136
77637:3, 1:1, 1, 1, [], [], 0.137
77637:3, 1:1, 1, 1, [], [], 0.138
77637:3, 1:1, 1, 1, [], [], 0.141
77637:3, 1:1, 1, 1, [], [], 0.149
77637:3, 1:1, 1, 1, [], [], 0.163
77637:3, 1:1, 1, 1, [], [], 0.210
77637:3, 1:1, 1, 1, [], [], 0.223
77637:3, 1:1, 1, 1, [], [], 0.225
77637:3, 1:1, 1, 1, [], [], 0.230
77637:3, 1:1, 1, 1, [], [], 0.234
77637:3, 1:1, 1, 1, [], [], 0.237
77637:3, 1:1, 1, 1, [], [], 0.238
77637:3, 1:1, 1, 1, [], [], 0.244
77637:3, 1:1, 1, 1, [], [], 0.245
77637:3, 1:1, 1, 1, [], [], 0.245
77637:3, 1:1, 1, 1, [], [], 0.249
77637:3, 1:1, 1, 1, [], [], 0.250
77637:3, 1:1, 1, 1, [], [], 0.252
77637:3, 1:1, 1, 1, [], [], 0.253
77637:3, 1:1, 1, 1, [], [], 0.258
77637:3, 1:1, 1, 1, [], [], 0.259
77637:3, 1:1, 1, 1, [], [], 0.260
