k,querytime,nb_threads,knn data structure
5000,7.465707,64,kashif (os-tree)
5000,11.212580,64,kashif (os-tree)
10000,20.508988,64,kashif (os-tree)
10000,16.135011,64,kashif (os-tree)
10000,17.402622,64,kashif (os-tree)
10000,17.167903,64,kashif (os-tree)
10000,14.348918,64,kashif (os-tree)
10000,11.994594,64,kashif (os-tree)
10000,26.783700,64,kashif (os-tree)
10000,20.623247,64,kashif (os-tree)
10000,11.022664,64,kashif (os-tree)
10000,17.388698,64,kashif (os-tree)
50000,64.899040,64,kashif (os-tree)
50000,53.351464,64,kashif (os-tree)
50000,64.093392,64,kashif (os-tree)
50000,60.697308,64,kashif (os-tree)
50000,54.588852,64,kashif (os-tree)
50000,51.406288,64,kashif (os-tree)
50000,77.820784,64,kashif (os-tree)
50000,68.213824,64,kashif (os-tree)
50000,41.830770,64,kashif (os-tree)
50000,58.381856,64,kashif (os-tree)
100000,106.187404,64,kashif (os-tree)
100000,101.870604,64,kashif (os-tree)
100000,131.450432,64,kashif (os-tree)
100000,118.193520,64,kashif (os-tree)
100000,105.399260,64,kashif (os-tree)
100000,109.036800,64,kashif (os-tree)
100000,154.932640,64,kashif (os-tree)
100000,127.048232,64,kashif (os-tree)
100000,86.931692,64,kashif (os-tree)
100000,113.946152,64,kashif (os-tree)
500000,593.987760,64,kashif (os-tree)
500000,539.478784,64,kashif (os-tree)
500000,632.587664,64,kashif (os-tree)
500000,638.593584,64,kashif (os-tree)
500000,595.736736,64,kashif (os-tree)
500000,779.355648,64,kashif (os-tree)
500000,687.578192,64,kashif (os-tree)
500000,631.923440,64,kashif (os-tree)
500000,520.571536,64,kashif (os-tree)
500000,640.355616,64,kashif (os-tree)
1000000,1276.171968,64,kashif (os-tree)
1000000,1219.720576,64,kashif (os-tree)
1000000,1401.148928,64,kashif (os-tree)
1000000,1423.224576,64,kashif (os-tree)
1000000,1562.519840,64,kashif (os-tree)
1000000,2315.238400,64,kashif (os-tree)
1000000,3132.811904,64,kashif (os-tree)
1000000,5578.032640,64,kashif (os-tree)
1000000,5766.814208,64,kashif (os-tree)
1000000,22271.696384,64,kashif (os-tree)
10,6.806287,64,kashif (minmax-heap)
10,1.251822,64,kashif (minmax-heap)
10,1.292690,64,kashif (minmax-heap)
10,1.229272,64,kashif (minmax-heap)
10,1.216939,64,kashif (minmax-heap)
10,0.901227,64,kashif (minmax-heap)
10,2.832997,64,kashif (minmax-heap)
10,1.730677,64,kashif (minmax-heap)
10,1.022125,64,kashif (minmax-heap)
10,1.406379,64,kashif (minmax-heap)
50,6.298275,64,kashif (minmax-heap)
50,1.383236,64,kashif (minmax-heap)
50,1.596469,64,kashif (minmax-heap)
50,1.561345,64,kashif (minmax-heap)
50,1.761455,64,kashif (minmax-heap)
50,1.314317,64,kashif (minmax-heap)
50,3.445336,64,kashif (minmax-heap)
50,2.459486,64,kashif (minmax-heap)
50,1.385721,64,kashif (minmax-heap)
50,1.703221,64,kashif (minmax-heap)
100,11.092518,64,kashif (minmax-heap)
100,1.500038,64,kashif (minmax-heap)
100,1.569583,64,kashif (minmax-heap)
100,1.732375,64,kashif (minmax-heap)
100,1.558814,64,kashif (minmax-heap)
100,0.999936,64,kashif (minmax-heap)
100,3.618949,64,kashif (minmax-heap)
100,2.260225,64,kashif (minmax-heap)
100,1.312997,64,kashif (minmax-heap)
100,2.144330,64,kashif (minmax-heap)
500,7.069743,64,kashif (minmax-heap)
500,2.049656,64,kashif (minmax-heap)
500,2.378947,64,kashif (minmax-heap)
500,2.329477,64,kashif (minmax-heap)
500,1.847606,64,kashif (minmax-heap)
500,1.346937,64,kashif (minmax-heap)
500,4.148628,64,kashif (minmax-heap)
500,3.385118,64,kashif (minmax-heap)
500,1.277330,64,kashif (minmax-heap)
500,2.378664,64,kashif (minmax-heap)
1000,7.814578,64,kashif (minmax-heap)
1000,2.219544,64,kashif (minmax-heap)
1000,2.617751,64,kashif (minmax-heap)
1000,2.741803,64,kashif (minmax-heap)
1000,1.964511,64,kashif (minmax-heap)
1000,1.416950,64,kashif (minmax-heap)
1000,4.154025,64,kashif (minmax-heap)
1000,3.593851,64,kashif (minmax-heap)
1000,1.557528,64,kashif (minmax-heap)
1000,2.560148,64,kashif (minmax-heap)
5000,8.276671,64,kashif (minmax-heap)
5000,3.450824,64,kashif (minmax-heap)
5000,4.006726,64,kashif (minmax-heap)
5000,3.480473,64,kashif (minmax-heap)
5000,2.807679,64,kashif (minmax-heap)
5000,2.294245,64,kashif (minmax-heap)
5000,5.580080,64,kashif (minmax-heap)
5000,5.349382,64,kashif (minmax-heap)
5000,1.975067,64,kashif (minmax-heap)
5000,3.558205,64,kashif (minmax-heap)
10000,11.299978,64,kashif (minmax-heap)
10000,5.040088,64,kashif (minmax-heap)
10000,5.045666,64,kashif (minmax-heap)
10000,4.856394,64,kashif (minmax-heap)
10000,4.190728,64,kashif (minmax-heap)
10000,3.161319,64,kashif (minmax-heap)
10000,6.774244,64,kashif (minmax-heap)
10000,5.884505,64,kashif (minmax-heap)
10000,3.150119,64,kashif (minmax-heap)
10000,4.816294,64,kashif (minmax-heap)
50000,14.030196,64,kashif (minmax-heap)
50000,9.657237,64,kashif (minmax-heap)
50000,11.712437,64,kashif (minmax-heap)
50000,9.817060,64,kashif (minmax-heap)
50000,9.358112,64,kashif (minmax-heap)
50000,9.339196,64,kashif (minmax-heap)
50000,13.826325,64,kashif (minmax-heap)
50000,11.860293,64,kashif (minmax-heap)
50000,7.116187,64,kashif (minmax-heap)
50000,10.497341,64,kashif (minmax-heap)
100000,20.790901,64,kashif (minmax-heap)
100000,17.012288,64,kashif (minmax-heap)
100000,17.632819,64,kashif (minmax-heap)
100000,16.873781,64,kashif (minmax-heap)
100000,13.699780,64,kashif (minmax-heap)
100000,15.949937,64,kashif (minmax-heap)
100000,21.411485,64,kashif (minmax-heap)
