TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:2, 2:0, 0, 5, [], [], 0.000
77637:2, 4:2, 0, 5, [], [], 0.000
77637:2, 12:2, 0, 0, [], [], 0.000
77637:2, 20:0, 0, 5, [], [], 0.000
77637:2, 22:9, 0, 5, [], [], 0.000
77637:2, 26:0, 0, 1, [], [], 0.000
77637:2, 31:1, 0, 11, [], [], 0.000
77637:2, 36:0, 0, 5, [], [], 0.000
77637:2, 36:3, 0, 5, [], [], 0.000
77637:2, 197:1, 0, 1, [], [], 0.000
77637:2, 12:2, 1, 1, [], [], 0.000
77637:2, 20:0, 1, 13, [], [], 0.000
77637:2, 22:9, 1, 13, [], [], 0.000
77637:2, 28:3, 1, 0, [], [], 0.000
77637:2, 29:1, 1, 1, [], [], 0.000
77637:2, 36:0, 1, 13, [], [], 0.000
77637:2, 36:4, 1, 11, [], [], 0.000
77637:2, 37:2, 1, 1, [], [], 0.000
77637:2, 40:2, 1, 1, [], [], 0.000
77637:2, 200:1, 1, 0, [], [], 0.000
77637:2, 4:2, 2, 19, [], [], 0.000
77637:2, 12:2, 2, 2, [], [], 0.000
77637:2, 31:1, 2, 32, [], [], 0.000
77637:2, 37:2, 2, 2, [], [], 0.000
77637:2, 40:2, 2, 2, [], [], 0.000
77637:2, 41:6, 2, 2, [], [], 0.000
77637:2, 43:1, 2, 2, [], [], 0.000
77637:2, 57:0, 2, 14, [], [], 0.000
77637:2, 66:6, 2, 8, [], [], 0.000
77637:2, 197:1, 2, 1, [], [], 0.000
77637:2, 2:0, 3, 17, [], [], 0.000
77637:2, 4:2, 3, 36, [], [], 0.000
77637:2, 12:2, 3, 3, [], [], 0.000
77637:2, 16:1, 3, 2, [], [], 0.000
77637:2, 20:0, 3, 21, [], [], 0.000
77637:2, 22:9, 3, 23, [], [], 0.000
77637:2, 31:1, 3, 65, [], [], 0.000
77637:2, 36:0, 3, 22, [], [], 0.000
77637:2, 36:3, 3, 19, [], [], 0.000
77637:2, 197:1, 3, 1, [], [], 0.000
77637:2, 12:2, 4, 4, [], [], 0.000
77637:2, 12:4, 4, 5, [], [], 0.000
77637:2, 37:2, 4, 4, [], [], 0.000
77637:2, 37:4, 4, 5, [], [], 0.000
77637:2, 66:5, 4, 5, [], [], 0.000
77637:2, 85:2, 4, 4, [], [], 0.000
77637:2, 85:4, 4, 5, [], [], 0.000
77637:2, 115:2, 4, 4, [], [], 0.000
77637:2, 115:4, 4, 5, [], [], 0.000
77637:2, 198:3, 4, 10, [], [], 0.000
