TQ:Q, TS:S, q_pos, s_pos, q, s, d
77649:1, 114:4, 0, 4, [], [], 0.497
77649:1, 22:5, 0, 0, [], [], 0.622
77649:1, 176:1, 0, 7, [], [], 0.741
77649:1, 185:0, 0, 35, [], [], 0.769
77649:1, 31:0, 0, 542, [], [], 0.799
77649:1, 14:9, 0, 2, [], [], 0.809
77649:1, 38:4, 0, 0, [], [], 0.822
77649:1, 31:0, 0, 570, [], [], 0.824
77649:1, 162:3, 0, 4, [], [], 0.824
77649:1, 101:1, 0, 0, [], [], 0.827
77649:1, 19:3, 1, 5, [], [], 0.652
77649:1, 15:0, 1, 19, [], [], 0.706
77649:1, 89:38, 1, 4, [], [], 0.739
77649:1, 8:1, 1, 21, [], [], 0.745
77649:1, 70:0, 1, 59, [], [], 0.750
77649:1, 89:15, 1, 8, [], [], 0.759
77649:1, 136:1, 1, 15, [], [], 0.764
77649:1, 100:1, 1, 84, [], [], 0.769
77649:1, 89:17, 1, 4, [], [], 0.775
77649:1, 170:0, 1, 0, [], [], 0.780
77649:1, 110:1, 2, 17, [], [], 0.301
77649:1, 72:0, 2, 0, [], [], 0.305
77649:1, 189:0, 2, 1, [], [], 0.305
77649:1, 196:1, 2, 0, [], [], 0.308
77649:1, 52:2, 2, 2, [], [], 0.310
77649:1, 180:4, 2, 50, [], [], 0.317
77649:1, 92:1, 2, 8, [], [], 0.334
77649:1, 154:0, 2, 16, [], [], 0.336
77649:1, 163:4, 2, 14, [], [], 0.342
77649:1, 98:1, 2, 2, [], [], 0.342
77649:1, 158:0, 3, 5, [], [], 0.662
77649:1, 4:3, 3, 76, [], [], 0.672
77649:1, 4:3, 3, 6, [], [], 0.704
77649:1, 4:3, 3, 181, [], [], 0.711
77649:1, 101:1, 3, 16, [], [], 0.736
77649:1, 101:2, 3, 19, [], [], 0.736
77649:1, 101:3, 3, 23, [], [], 0.736
77649:1, 101:4, 3, 21, [], [], 0.736
77649:1, 171:1, 3, 16, [], [], 0.747
77649:1, 142:0, 3, 2, [], [], 0.779
77649:1, 69:0, 4, 30, [], [], 0.382
77649:1, 145:2, 4, 7, [], [], 0.550
77649:1, 14:0, 4, 6, [], [], 0.555
77649:1, 126:1, 4, 7, [], [], 0.555
77649:1, 166:1, 4, 2, [], [], 0.555
77649:1, 145:2, 4, 6, [], [], 0.593
77649:1, 145:2, 4, 4, [], [], 0.602
77649:1, 101:2, 4, 8, [], [], 0.606
77649:1, 101:3, 4, 8, [], [], 0.606
77649:1, 101:4, 4, 8, [], [], 0.606
